x,S11
-9.395295e+01,-1.585050e+01
-9.246055e+01,-1.143333e+01
-9.096816e+01,-8.918590e+00
-8.947577e+01,-7.560011e+00
-8.798337e+01,nan
-8.649098e+01,-6.539886e+00
-8.499858e+01,-5.870220e+00
-8.350619e+01,-5.413392e+00
-8.201380e+01,nan
-8.052140e+01,-5.108153e+00
-7.902901e+01,-4.922133e+00
-7.753662e+01,-4.825339e+00
-7.604422e+01,nan
-7.455183e+01,-4.803217e+00
-7.305944e+01,-4.838773e+00
-7.156704e+01,-4.912058e+00
-7.007465e+01,nan
-6.858226e+01,-5.015856e+00
-6.708986e+01,-5.144295e+00
-6.559747e+01,-5.300913e+00
-6.410508e+01,-5.468778e+00
-6.261268e+01,nan
-6.112029e+01,-5.643256e+00
-5.962790e+01,-5.820233e+00
-5.813550e+01,-6.009043e+00
-5.664311e+01,nan
-5.515071e+01,-6.210078e+00
-5.365832e+01,-6.493743e+00
-5.216593e+01,-6.725601e+00
-5.067353e+01,nan
-4.918114e+01,-6.730004e+00
-4.768875e+01,-7.158679e+00
-4.619635e+01,-7.242350e+00
-4.470396e+01,nan
-4.321157e+01,-7.428356e+00
-4.171917e+01,-7.652483e+00
-4.022678e+01,-7.869411e+00
-3.873439e+01,-8.085106e+00
-3.724199e+01,nan
-3.574960e+01,-8.292730e+00
-3.425721e+01,-8.493181e+00
-3.276481e+01,-8.688744e+00
-3.127242e+01,nan
-2.978003e+01,-8.892910e+00
-2.828763e+01,-9.098419e+00
-2.679524e+01,-9.297726e+00
-2.530285e+01,nan
-2.381045e+01,-9.493773e+00
-2.231806e+01,-9.687803e+00
-2.082566e+01,-9.891561e+00
-1.933327e+01,nan
-1.784088e+01,-1.009673e+01
-1.634848e+01,-1.029547e+01
-1.485609e+01,-1.049157e+01
-1.336370e+01,-1.069714e+01
-1.187130e+01,nan
-1.037891e+01,-1.092011e+01
-8.886517e+00,-1.116172e+01
-7.394123e+00,-1.142099e+01
-5.901730e+00,nan
-4.409336e+00,-1.179814e+01
-2.916943e+00,-1.201946e+01
-1.424549e+00,-1.396115e+01
6.784439e-02,nan
1.560238e+00,-1.007730e+01
3.052631e+00,-1.204661e+01
4.545025e+00,-1.263746e+01
6.037418e+00,nan
7.529812e+00,-1.291309e+01
9.022205e+00,-1.317452e+01
1.051460e+01,-1.342256e+01
1.200699e+01,nan
1.349939e+01,-1.368179e+01
1.499178e+01,-1.396206e+01
1.648417e+01,-1.425832e+01
1.797657e+01,nan
1.946896e+01,-1.457621e+01
2.096135e+01,-1.491447e+01
2.245375e+01,-1.527548e+01
2.394614e+01,nan
2.543853e+01,-1.566701e+01
2.693093e+01,-1.609484e+01
2.842332e+01,-1.656613e+01
2.991571e+01,nan
3.140811e+01,-1.709090e+01
3.290050e+01,-1.768242e+01
3.439289e+01,-1.836175e+01
3.588529e+01,-2.449187e+01
3.737768e+01,-1.867783e+01
3.887008e+01,-2.007922e+01
4.036247e+01,-2.118404e+01
4.185486e+01,-2.315735e+01
4.334726e+01,-2.239725e+01
4.483965e+01,-2.427038e+01
4.633204e+01,-2.768680e+01
4.782444e+01,-3.037862e+01
4.931683e+01,nan
5.080922e+01,-3.819799e+01
5.230162e+01,-5.218475e+01
5.379401e+01,-1.054284e+02
