x,Mu
-9.394464e+01,1.695104e+00
-9.245157e+01,1.906845e+00
-9.095850e+01,2.270900e+00
-8.946543e+01,2.381241e+00
-8.797236e+01,2.273743e+00
-8.647929e+01,2.461559e+00
-8.498622e+01,2.496246e+00
-8.349315e+01,2.503365e+00
-8.200008e+01,nan
-8.050701e+01,2.479712e+00
-7.901395e+01,2.428149e+00
-7.752088e+01,2.353556e+00
-7.602781e+01,nan
-7.453474e+01,2.257486e+00
-7.304167e+01,2.124060e+00
-7.154860e+01,1.700675e+00
-7.005553e+01,nan
-6.856246e+01,2.325210e+00
-6.706939e+01,2.068178e+00
-6.557632e+01,1.941571e+00
-6.408326e+01,nan
-6.259019e+01,1.838851e+00
-6.109712e+01,1.747718e+00
-5.960405e+01,1.663900e+00
-5.811098e+01,nan
-5.661791e+01,1.586172e+00
-5.512484e+01,1.514146e+00
-5.363177e+01,1.447893e+00
-5.213870e+01,nan
-5.064564e+01,1.385506e+00
-4.915257e+01,1.327411e+00
-4.765950e+01,1.274028e+00
-4.616643e+01,1.226073e+00
-4.467336e+01,1.189878e+00
-4.318029e+01,1.178935e+00
-4.168722e+01,1.136992e+00
-4.019415e+01,1.098955e+00
-3.870108e+01,nan
-3.720801e+01,1.062511e+00
-3.571495e+01,1.029701e+00
-3.422188e+01,9.993787e-01
-3.272881e+01,nan
-3.123574e+01,9.699070e-01
-2.974267e+01,9.393497e-01
-2.824960e+01,9.134315e-01
-2.675653e+01,nan
-2.526346e+01,8.986634e-01
-2.377039e+01,8.695588e-01
-2.227733e+01,8.562812e-01
-2.078426e+01,nan
-1.929119e+01,8.406403e-01
-1.779812e+01,8.233712e-01
-1.630505e+01,8.073033e-01
-1.481198e+01,nan
-1.331891e+01,7.927687e-01
-1.182584e+01,7.802654e-01
-1.033277e+01,7.680059e-01
-8.839704e+00,nan
-7.346635e+00,7.568063e-01
-5.853566e+00,7.467822e-01
-4.360498e+00,7.375645e-01
-2.867429e+00,7.291568e-01
-1.374360e+00,nan
1.187094e-01,7.215383e-01
1.611778e+00,7.151867e-01
3.104847e+00,7.090522e-01
4.597916e+00,nan
6.090985e+00,7.032222e-01
7.584054e+00,6.984754e-01
9.077123e+00,6.942371e-01
1.057019e+01,nan
1.206326e+01,6.906242e-01
1.355633e+01,6.876320e-01
1.504940e+01,6.856081e-01
1.654247e+01,nan
1.803554e+01,6.840418e-01
1.952861e+01,6.824063e-01
2.102167e+01,6.818821e-01
2.251474e+01,nan
2.400781e+01,6.818372e-01
2.550088e+01,6.824213e-01
2.699395e+01,6.836702e-01
2.848702e+01,nan
2.998009e+01,6.859238e-01
3.147316e+01,6.889902e-01
3.296623e+01,6.922221e-01
3.445930e+01,nan
3.595236e+01,6.970201e-01
3.744543e+01,7.030579e-01
3.893850e+01,7.108097e-01
4.043157e+01,7.204310e-01
4.192464e+01,nan
4.341771e+01,7.339268e-01
4.491078e+01,7.479033e-01
4.640385e+01,7.805918e-01
4.789692e+01,nan
4.938999e+01,7.590611e-01
5.088305e+01,6.446295e-01
5.237612e+01,5.011751e-01
5.386919e+01,1.937910e-01
