y_mm,mu
-94.25,0.80163
-92.75,0.905784
-91.25,0.900581
-89.75,0.891558
-88.25,0.88097
-86.75,0.850765
-85.25,0.857242
-83.75,0.857004
-82.25,0.855382
-80.75,0.867601
-79.25,0.884188
-77.75,0.918853
-76.25,1.02529
-74.75,1.22055
-73.25,1.56345
-71.75,2.82761
-70.25,7.58762
-68.75,4.57274
-67.25,4.33722
-65.75,3.20565
-64.25,2.78062
-62.75,2.47919
-61.25,2.28652
-59.75,2.13627
-58.25,2.01541
-56.75,1.91146
-55.25,1.8195
-53.75,1.73669
-52.25,1.66141
-50.75,1.59253
-49.25,1.52925
-47.75,1.4709
-46.25,1.41695
-44.75,1.36702
-43.25,1.3204
-41.75,1.27808
-40.25,1.23768
-38.75,1.19995
-37.25,1.16491
-35.75,1.13214
-34.25,1.10142
-32.75,1.0726
-31.25,1.04553
-29.75,1.02007
-28.25,0.996117
-26.75,0.973537
-25.25,0.952297
-23.75,0.932058
-22.25,0.913475
-20.75,0.895771
-19.25,0.878635
-17.75,0.86259
-16.25,0.847495
-14.75,0.833189
-13.25,0.81965
-11.75,0.806826
-10.25,0.794678
-8.75,0.783169
-7.25,0.772252
-5.75,0.761928
-4.25,0.752053
-2.75,0.742841
-1.25,0.73437
0.25,0.725957
1.75,0.717875
3.25,0.710467
4.75,0.70341
6.25,0.696744
7.75,0.690635
9.25,0.684142
10.75,0.679035
12.25,0.667525
13.75,0.665553
15.25,0.673074
16.75,0.652456
18.25,0.654693
19.75,0.648781
21.25,0.64491
22.75,0.64111
24.25,0.637477
25.75,0.634016
27.25,0.630734
28.75,0.627647
30.25,0.624778
31.75,0.622159
33.25,0.619835
34.75,0.617873
36.25,0.616351
37.75,0.615477
39.25,0.61579
40.75,0.616157
42.25,0.618234
43.75,0.62168
45.25,0.626904
46.75,0.633692
48.25,0.642814
49.75,0.647936
51.25,0.664461
52.75,0.594202
54.25,0.684862
