x,S12
-9.395076e+01,3.737466e+01
-9.245837e+01,3.314156e+01
-9.096598e+01,2.958203e+01
-8.947359e+01,2.622893e+01
-8.798119e+01,nan
-8.648880e+01,2.372699e+01
-8.499641e+01,2.184730e+01
-8.350402e+01,2.041451e+01
-8.201162e+01,nan
-8.051923e+01,1.929562e+01
-7.902684e+01,1.840195e+01
-7.753444e+01,1.767145e+01
-7.604205e+01,nan
-7.454966e+01,1.706439e+01
-7.305727e+01,1.655231e+01
-7.156487e+01,1.610635e+01
-7.007248e+01,nan
-6.858009e+01,1.571279e+01
-6.708770e+01,1.536024e+01
-6.559530e+01,1.504333e+01
-6.410291e+01,1.326315e+01
-6.261052e+01,2.074917e+01
-6.111813e+01,1.449790e+01
-5.962573e+01,1.425498e+01
-5.813334e+01,1.402772e+01
-5.664095e+01,nan
-5.514856e+01,1.382439e+01
-5.365616e+01,1.364156e+01
-5.216377e+01,1.347017e+01
-5.067138e+01,nan
-4.917898e+01,1.331342e+01
-4.768659e+01,1.300286e+01
-4.619420e+01,1.306035e+01
-4.470181e+01,nan
-4.320941e+01,1.281602e+01
-4.171702e+01,1.271347e+01
-4.022463e+01,1.265772e+01
-3.873224e+01,nan
-3.723984e+01,1.256437e+01
-3.574745e+01,1.247481e+01
-3.425506e+01,1.239990e+01
-3.276267e+01,1.233557e+01
-3.127027e+01,nan
-2.977788e+01,1.228341e+01
-2.828549e+01,1.224170e+01
-2.679309e+01,1.221425e+01
-2.530070e+01,nan
-2.380831e+01,1.220549e+01
-2.231592e+01,1.220758e+01
-2.082352e+01,1.221987e+01
-1.933113e+01,nan
-1.783874e+01,1.224605e+01
-1.634635e+01,1.228694e+01
-1.485395e+01,1.235115e+01
-1.336156e+01,nan
-1.186917e+01,1.243444e+01
-1.037678e+01,1.253241e+01
-8.884383e+00,1.265615e+01
-7.391990e+00,nan
-5.899598e+00,1.280800e+01
-4.407205e+00,1.300424e+01
-2.914812e+00,1.325624e+01
-1.422420e+00,1.357153e+01
6.997311e-02,nan
1.562366e+00,1.399071e+01
3.054758e+00,1.456615e+01
4.547151e+00,1.537423e+01
6.039544e+00,nan
7.531936e+00,1.677332e+01
9.024329e+00,1.923758e+01
1.051672e+01,1.526053e+01
1.200911e+01,nan
1.350151e+01,1.099509e+01
1.499390e+01,1.008775e+01
1.648629e+01,1.053745e+01
1.797868e+01,nan
1.947108e+01,1.108646e+01
2.096347e+01,1.167159e+01
2.245586e+01,1.225080e+01
2.394826e+01,nan
2.544065e+01,1.282430e+01
2.693304e+01,1.340131e+01
2.842543e+01,1.399721e+01
2.991783e+01,nan
3.141022e+01,1.462638e+01
3.290261e+01,1.530456e+01
3.439500e+01,1.605539e+01
3.588740e+01,nan
3.737979e+01,1.690826e+01
3.887218e+01,1.789511e+01
4.036457e+01,1.907227e+01
4.185697e+01,2.685992e+01
4.334936e+01,1.997464e+01
4.484175e+01,2.238691e+01
4.633415e+01,2.493437e+01
4.782654e+01,2.846710e+01
4.931893e+01,nan
5.081132e+01,3.465104e+01
5.230372e+01,4.677045e+01
5.379611e+01,4.283067e+01
