x,Mu
-9.394464e+01,1.782130e+00
-9.245157e+01,1.959695e+00
-9.095850e+01,2.349707e+00
-8.946543e+01,2.468004e+00
-8.797236e+01,2.344592e+00
-8.647929e+01,2.560784e+00
-8.498622e+01,2.603711e+00
-8.349315e+01,2.617108e+00
-8.200008e+01,nan
-8.050701e+01,2.596324e+00
-7.901395e+01,2.544848e+00
-7.752088e+01,2.468362e+00
-7.602781e+01,nan
-7.453474e+01,2.370059e+00
-7.304167e+01,2.239692e+00
-7.154860e+01,1.958940e+00
-7.005553e+01,nan
-6.856246e+01,2.559607e+00
-6.706939e+01,2.168051e+00
-6.557632e+01,2.025930e+00
-6.408326e+01,nan
-6.259019e+01,1.914797e+00
-6.109712e+01,1.817159e+00
-5.960405e+01,1.727735e+00
-5.811098e+01,nan
-5.661791e+01,1.645010e+00
-5.512484e+01,1.568494e+00
-5.363177e+01,1.498186e+00
-5.213870e+01,nan
-5.064564e+01,1.432100e+00
-4.915257e+01,1.370660e+00
-4.765950e+01,1.314266e+00
-4.616643e+01,1.263605e+00
-4.467336e+01,1.227005e+00
-4.318029e+01,1.213993e+00
-4.168722e+01,1.169842e+00
-4.019415e+01,1.129803e+00
-3.870108e+01,nan
-3.720801e+01,1.091529e+00
-3.571495e+01,1.057079e+00
-3.422188e+01,1.025258e+00
-3.272881e+01,nan
-3.123574e+01,9.943527e-01
-2.974267e+01,9.624080e-01
-2.824960e+01,9.352870e-01
-2.675653e+01,nan
-2.526346e+01,9.197373e-01
-2.377039e+01,8.893740e-01
-2.227733e+01,8.754296e-01
-2.078426e+01,nan
-1.929119e+01,8.589956e-01
-1.779812e+01,8.409087e-01
-1.630505e+01,8.240895e-01
-1.481198e+01,nan
-1.331891e+01,8.088713e-01
-1.182584e+01,7.957368e-01
-1.033277e+01,7.828776e-01
-8.839704e+00,nan
-7.346635e+00,7.711196e-01
-5.853566e+00,7.605709e-01
-4.360498e+00,7.508558e-01
-2.867429e+00,7.419756e-01
-1.374360e+00,nan
1.187094e-01,7.339101e-01
1.611778e+00,7.271322e-01
3.104847e+00,7.205808e-01
4.597916e+00,nan
6.090985e+00,7.143505e-01
7.584054e+00,7.092190e-01
9.077123e+00,7.046047e-01
1.057019e+01,nan
1.206326e+01,7.006235e-01
1.355633e+01,6.972701e-01
1.504940e+01,6.948892e-01
1.654247e+01,nan
1.803554e+01,6.929598e-01
1.952861e+01,6.909572e-01
2.102167e+01,6.900611e-01
2.251474e+01,nan
2.400781e+01,6.896298e-01
2.550088e+01,6.898084e-01
2.699395e+01,6.906252e-01
2.848702e+01,nan
2.998009e+01,6.924103e-01
3.147316e+01,6.949512e-01
3.296623e+01,6.975836e-01
3.445930e+01,nan
3.595236e+01,7.016781e-01
3.744543e+01,7.068607e-01
3.893850e+01,7.135182e-01
4.043157e+01,7.217236e-01
4.192464e+01,nan
4.341771e+01,7.330960e-01
4.491078e+01,7.444433e-01
4.640385e+01,7.705985e-01
4.789692e+01,nan
4.938999e+01,7.468456e-01
5.088305e+01,6.364747e-01
5.237612e+01,5.220607e-01
5.386919e+01,2.137841e-01
