x,S11
-9.395895e+01,-2.196013e+01
-9.246646e+01,-1.612413e+01
-9.097397e+01,-1.242943e+01
-8.948147e+01,-1.049975e+01
-8.798898e+01,nan
-8.649649e+01,-9.021845e+00
-8.500399e+01,-8.070069e+00
-8.351150e+01,-7.388143e+00
-8.201900e+01,nan
-8.052651e+01,-6.939787e+00
-7.903402e+01,-6.670428e+00
-7.754152e+01,-6.542615e+00
-7.604903e+01,nan
-7.455654e+01,-6.503027e+00
-7.306404e+01,-6.541418e+00
-7.157155e+01,-6.649092e+00
-7.007906e+01,-6.789577e+00
-6.858656e+01,nan
-6.709407e+01,-6.957772e+00
-6.560157e+01,-7.168252e+00
-6.410908e+01,-7.611066e+00
-6.261659e+01,nan
-6.112409e+01,-7.933465e+00
-5.963160e+01,-7.741085e+00
-5.813911e+01,-8.548601e+00
-5.664661e+01,nan
-5.515412e+01,-8.571058e+00
-5.366163e+01,-8.817147e+00
-5.216913e+01,-9.156933e+00
-5.067664e+01,-9.493675e+00
-4.918414e+01,nan
-4.769165e+01,-9.811811e+00
-4.619916e+01,-1.011005e+01
-4.470666e+01,-1.041136e+01
-4.321417e+01,nan
-4.172168e+01,-1.071901e+01
-4.022918e+01,-1.101674e+01
-3.873669e+01,-1.129937e+01
-3.724420e+01,nan
-3.575170e+01,-1.159551e+01
-3.425921e+01,-1.189608e+01
-3.276671e+01,-1.218130e+01
-3.127422e+01,-1.246779e+01
-2.978173e+01,nan
-2.828923e+01,-1.279014e+01
-2.679674e+01,-1.313105e+01
-2.530425e+01,-1.360414e+01
-2.381175e+01,nan
-2.231926e+01,-1.389141e+01
-2.082677e+01,-1.639107e+01
-1.933427e+01,-1.160423e+01
-1.784178e+01,nan
-1.634928e+01,-1.399822e+01
-1.485679e+01,-1.468445e+01
-1.336430e+01,-1.500906e+01
-1.187180e+01,nan
-1.037931e+01,-1.530573e+01
-8.886817e+00,-1.557629e+01
-7.394323e+00,-1.584689e+01
-5.901829e+00,nan
-4.409336e+00,-1.612749e+01
-2.916842e+00,-1.641819e+01
-1.424348e+00,-1.671887e+01
6.814528e-02,nan
1.560639e+00,-1.703041e+01
3.053133e+00,-1.734882e+01
4.545626e+00,-1.767567e+01
6.038120e+00,nan
7.530613e+00,-1.801537e+01
9.023107e+00,-1.836455e+01
1.051560e+01,-1.872592e+01
1.200809e+01,nan
1.350059e+01,-1.910375e+01
1.499308e+01,-1.950003e+01
1.648558e+01,-1.991755e+01
1.797807e+01,-2.682864e+01
1.947056e+01,-1.979721e+01
2.096306e+01,-2.083089e+01
2.245555e+01,-2.133667e+01
2.394804e+01,-2.499270e+01
2.544054e+01,-2.129109e+01
2.693303e+01,-2.248168e+01
2.842552e+01,-2.313989e+01
2.991802e+01,-2.630003e+01
3.141051e+01,-2.328146e+01
3.290301e+01,-2.472318e+01
3.439550e+01,-2.575907e+01
3.588799e+01,-2.741765e+01
3.738049e+01,-2.638600e+01
3.887298e+01,-2.794902e+01
4.036547e+01,-2.958722e+01
4.185797e+01,-3.172963e+01
4.335046e+01,nan
4.484295e+01,-3.423786e+01
4.633545e+01,-3.834137e+01
4.782794e+01,-4.276746e+01
4.932044e+01,nan
5.081293e+01,-5.452189e+01
5.230542e+01,-7.382453e+01
5.379792e+01,-1.494253e+02
