x,S12
-9.396914e+01,3.974591e+01
-9.247656e+01,3.535280e+01
-9.098398e+01,3.166865e+01
-8.949140e+01,2.818340e+01
-8.799881e+01,nan
-8.650623e+01,2.556257e+01
-8.501365e+01,2.358317e+01
-8.352107e+01,2.208488e+01
-8.202849e+01,nan
-8.053590e+01,2.090863e+01
-7.904332e+01,1.998012e+01
-7.755074e+01,1.924191e+01
-7.605816e+01,1.862747e+01
-7.456558e+01,nan
-7.307300e+01,1.821563e+01
-7.158041e+01,1.724464e+01
-7.008783e+01,1.751014e+01
-6.859525e+01,nan
-6.710267e+01,1.688449e+01
-6.561009e+01,1.655660e+01
-6.411751e+01,1.640927e+01
-6.262492e+01,1.619015e+01
-6.113234e+01,nan
-5.963976e+01,1.597565e+01
-5.814718e+01,1.580035e+01
-5.665460e+01,1.566844e+01
-5.516202e+01,nan
-5.366943e+01,1.557546e+01
-5.217685e+01,1.555269e+01
-5.068427e+01,1.560776e+01
-4.919169e+01,1.577088e+01
-4.769911e+01,nan
-4.620653e+01,1.614897e+01
-4.471394e+01,1.681176e+01
-4.322136e+01,1.825190e+01
-4.172878e+01,nan
-4.023620e+01,2.102575e+01
-3.874362e+01,1.596569e+01
-3.725104e+01,1.001848e+01
-3.575845e+01,8.464031e+00
-3.426587e+01,nan
-3.277329e+01,8.440173e+00
-3.128071e+01,8.606296e+00
-2.978813e+01,8.838303e+00
-2.829555e+01,nan
-2.680296e+01,9.071821e+00
-2.531038e+01,9.292771e+00
-2.381780e+01,9.498071e+00
-2.232522e+01,nan
-2.083264e+01,9.689473e+00
-1.934005e+01,9.869616e+00
-1.784747e+01,1.004049e+01
-1.635489e+01,nan
-1.486231e+01,1.020423e+01
-1.336973e+01,1.036254e+01
-1.187715e+01,1.051517e+01
-1.038456e+01,nan
-8.891983e+00,1.066487e+01
-7.399401e+00,1.081283e+01
-5.906819e+00,1.095879e+01
-4.414238e+00,nan
-2.921656e+00,1.110377e+01
-1.429074e+00,1.125022e+01
6.350742e-02,1.140052e+01
1.556089e+00,nan
3.048671e+00,1.155738e+01
4.541253e+00,1.172289e+01
6.033834e+00,1.189879e+01
7.526416e+00,nan
9.018998e+00,1.208664e+01
1.051158e+01,1.228798e+01
1.200416e+01,1.250429e+01
1.349674e+01,nan
1.498932e+01,1.273748e+01
1.648191e+01,1.299018e+01
1.797449e+01,1.326769e+01
1.946707e+01,nan
2.095965e+01,1.357437e+01
2.245223e+01,1.391268e+01
2.394481e+01,1.427555e+01
2.543740e+01,nan
2.692998e+01,1.453426e+01
2.842256e+01,1.511949e+01
2.991514e+01,1.560893e+01
3.140772e+01,nan
3.290031e+01,1.613499e+01
3.439289e+01,1.679946e+01
3.588547e+01,1.755412e+01
3.737805e+01,nan
3.887063e+01,1.846388e+01
4.036321e+01,1.957586e+01
4.185580e+01,2.097546e+01
4.334838e+01,nan
4.484096e+01,2.279968e+01
4.633354e+01,2.531133e+01
4.782612e+01,2.887586e+01
4.931870e+01,nan
5.081129e+01,3.507996e+01
5.230387e+01,4.710789e+01
5.379645e+01,4.505638e+01
