x,Mu
-9.382806e+01,2.092707e+00
-9.233682e+01,2.083897e+00
-9.084558e+01,2.490651e+00
-8.935434e+01,2.648462e+00
-8.786310e+01,nan
-8.637185e+01,2.836166e+00
-8.488061e+01,2.973025e+00
-8.338937e+01,3.006872e+00
-8.189813e+01,nan
-8.040688e+01,2.816453e+00
-7.891564e+01,3.010954e+00
-7.742440e+01,3.269386e+00
-7.593316e+01,2.622381e+00
-7.444192e+01,nan
-7.295067e+01,2.924190e+00
-7.145943e+01,2.564938e+00
-6.996819e+01,1.334416e+01
-6.847695e+01,nan
-6.698571e+01,2.736947e+00
-6.549446e+01,2.618235e+00
-6.400322e+01,2.555776e+00
-6.251198e+01,nan
-6.102074e+01,2.540885e+00
-5.952949e+01,2.506624e+00
-5.803825e+01,2.659615e+00
-5.654701e+01,2.221988e+00
-5.505577e+01,nan
-5.356453e+01,3.304845e+00
-5.207328e+01,1.322963e+00
-5.058204e+01,9.848054e-01
-4.909080e+01,nan
-4.759956e+01,8.886576e-01
-4.610832e+01,8.316498e-01
-4.461707e+01,7.958628e-01
-4.312583e+01,nan
-4.163459e+01,7.726583e-01
-4.014335e+01,7.565062e-01
-3.865210e+01,7.447291e-01
-3.716086e+01,nan
-3.566962e+01,7.357948e-01
-3.417838e+01,7.288533e-01
-3.268714e+01,7.233678e-01
-3.119589e+01,nan
-2.970465e+01,7.189386e-01
-2.821341e+01,7.153404e-01
-2.672217e+01,7.125069e-01
-2.523093e+01,nan
-2.373968e+01,7.101344e-01
-2.224844e+01,7.081406e-01
-2.075720e+01,7.065843e-01
-1.926596e+01,nan
-1.777471e+01,7.052991e-01
-1.628347e+01,7.042315e-01
-1.479223e+01,7.033552e-01
-1.330099e+01,7.026405e-01
-1.180975e+01,nan
-1.031850e+01,7.020627e-01
-8.827262e+00,7.016010e-01
-7.336019e+00,7.012388e-01
-5.844777e+00,nan
-4.353535e+00,7.009576e-01
-2.862293e+00,7.007527e-01
-1.371051e+00,7.005644e-01
1.201913e-01,nan
1.611433e+00,7.004058e-01
3.102676e+00,7.003663e-01
4.593918e+00,7.002604e-01
6.085160e+00,nan
7.576402e+00,6.999926e-01
9.067644e+00,6.993677e-01
1.055889e+01,6.981439e-01
1.205013e+01,nan
1.354137e+01,6.958451e-01
1.503261e+01,6.939997e-01
1.652385e+01,6.881826e-01
1.801510e+01,nan
1.950634e+01,6.883350e-01
2.099758e+01,6.919171e-01
2.248882e+01,6.847095e-01
2.398007e+01,nan
2.547131e+01,6.826520e-01
2.696255e+01,6.835393e-01
2.845379e+01,6.820896e-01
2.994503e+01,nan
3.143628e+01,6.815625e-01
3.292752e+01,6.812892e-01
3.441876e+01,6.814286e-01
3.591000e+01,nan
3.740124e+01,6.818538e-01
3.889249e+01,6.824857e-01
4.038373e+01,6.835603e-01
4.187497e+01,6.887433e-01
4.336621e+01,6.839683e-01
4.485746e+01,6.859650e-01
4.634870e+01,6.850736e-01
4.783994e+01,7.013337e-01
4.933118e+01,6.791598e-01
5.082242e+01,6.834045e-01
5.231367e+01,6.177688e-01
5.380491e+01,3.134664e-01
