x,S11
-9.395559e+01,-2.180448e+01
-9.246312e+01,-1.599643e+01
-9.097065e+01,-1.236339e+01
-8.947818e+01,-1.046175e+01
-8.798571e+01,nan
-8.649324e+01,-9.001941e+00
-8.500077e+01,-8.054612e+00
-8.350830e+01,-7.394735e+00
-8.201583e+01,nan
-8.052336e+01,-6.955819e+00
-7.903089e+01,-6.685828e+00
-7.753842e+01,-6.552789e+00
-7.604595e+01,nan
-7.455348e+01,-6.526606e+00
-7.306101e+01,-6.569561e+00
-7.156854e+01,-6.669720e+00
-7.007607e+01,-6.705350e+00
-6.858360e+01,-9.567637e+00
-6.709113e+01,-7.012836e+00
-6.559866e+01,-7.214742e+00
-6.410619e+01,-7.434307e+00
-6.261372e+01,nan
-6.112125e+01,-7.686489e+00
-5.962878e+01,-8.120279e+00
-5.813631e+01,-8.452539e+00
-5.664384e+01,nan
-5.515137e+01,-8.350716e+00
-5.365890e+01,-9.073801e+00
-5.216643e+01,-9.132376e+00
-5.067396e+01,nan
-4.918149e+01,-9.399536e+00
-4.768902e+01,-9.728870e+00
-4.619655e+01,-1.004518e+01
-4.470407e+01,-1.036191e+01
-4.321160e+01,nan
-4.171913e+01,-1.066458e+01
-4.022666e+01,-1.095452e+01
-3.873419e+01,-1.124102e+01
-3.724172e+01,nan
-3.574925e+01,-1.153962e+01
-3.425678e+01,-1.183560e+01
-3.276431e+01,-1.211807e+01
-3.127184e+01,nan
-2.977937e+01,-1.239407e+01
-2.828690e+01,-1.268374e+01
-2.679443e+01,-1.297757e+01
-2.530196e+01,-1.325758e+01
-2.380949e+01,nan
-2.231702e+01,-1.353158e+01
-2.082455e+01,-1.382914e+01
-1.933208e+01,-1.416242e+01
-1.783961e+01,nan
-1.634714e+01,-1.450237e+01
-1.485467e+01,-1.498206e+01
-1.336220e+01,-1.527641e+01
-1.186973e+01,nan
-1.037726e+01,-1.767804e+01
-8.884789e+00,-1.297990e+01
-7.392319e+00,-1.536208e+01
-5.899848e+00,nan
-4.407378e+00,-1.609868e+01
-2.914908e+00,-1.643238e+01
-1.422438e+00,-1.675111e+01
7.003258e-02,nan
1.562503e+00,-1.704853e+01
3.054973e+00,-1.735449e+01
4.547443e+00,-1.767532e+01
6.039914e+00,nan
7.532384e+00,-1.801402e+01
9.024854e+00,-1.836894e+01
1.051732e+01,-1.873658e+01
1.200979e+01,nan
1.350226e+01,-1.912344e+01
1.499474e+01,-1.952706e+01
1.648721e+01,-1.995011e+01
1.797968e+01,nan
1.947215e+01,-2.039950e+01
2.096462e+01,-2.087875e+01
2.245709e+01,-2.139321e+01
2.394956e+01,nan
2.544203e+01,-2.194912e+01
2.693450e+01,-2.255530e+01
2.842697e+01,-2.322223e+01
2.991944e+01,-3.093164e+01
3.141191e+01,-2.336161e+01
3.290438e+01,-2.480129e+01
3.439685e+01,-2.575613e+01
3.588932e+01,-3.000160e+01
3.738179e+01,-2.627032e+01
3.887426e+01,-2.821502e+01
4.036673e+01,-2.976539e+01
4.185920e+01,-3.288835e+01
4.335167e+01,-3.188885e+01
4.484414e+01,-3.427559e+01
4.633661e+01,-3.818895e+01
4.782908e+01,-4.295790e+01
4.932155e+01,nan
5.081402e+01,-5.483326e+01
5.230649e+01,-7.410655e+01
5.379896e+01,-1.499386e+02
