x,S11
-9.394603e+01,-6.471243e+00
-9.245346e+01,-4.559744e+00
-9.096090e+01,-3.608038e+00
-8.946834e+01,-2.996081e+00
-8.797578e+01,-3.882809e+00
-8.648322e+01,-2.678164e+00
-8.499065e+01,-2.419632e+00
-8.349809e+01,-2.239771e+00
-8.200553e+01,nan
-8.051297e+01,-2.123276e+00
-7.902041e+01,-2.054918e+00
-7.752784e+01,-2.018938e+00
-7.603528e+01,nan
-7.454272e+01,-2.010363e+00
-7.305016e+01,-2.022265e+00
-7.155760e+01,-2.049674e+00
-7.006503e+01,nan
-6.857247e+01,-2.089186e+00
-6.707991e+01,-2.139993e+00
-6.558735e+01,-2.198538e+00
-6.409479e+01,nan
-6.260222e+01,-2.261882e+00
-6.110966e+01,-2.329702e+00
-5.961710e+01,-2.400754e+00
-5.812454e+01,nan
-5.663198e+01,-2.473009e+00
-5.513941e+01,-2.547058e+00
-5.364685e+01,-2.625832e+00
-5.215429e+01,-2.618678e+00
-5.066173e+01,-2.969519e+00
-4.916917e+01,-2.780574e+00
-4.767661e+01,-2.858450e+00
-4.618404e+01,-2.934889e+00
-4.469148e+01,nan
-4.319892e+01,-3.011051e+00
-4.170636e+01,-3.090615e+00
-4.021380e+01,-3.167304e+00
-3.872123e+01,nan
-3.722867e+01,-3.244236e+00
-3.573611e+01,-3.325207e+00
-3.424355e+01,-3.408166e+00
-3.275099e+01,nan
-3.125842e+01,-3.487981e+00
-2.976586e+01,-3.542631e+00
-2.827330e+01,-3.640737e+00
-2.678074e+01,nan
-2.528818e+01,-3.699037e+00
-2.379561e+01,-3.775470e+00
-2.230305e+01,-3.857825e+00
-2.081049e+01,nan
-1.931793e+01,-3.936471e+00
-1.782537e+01,-4.013432e+00
-1.633280e+01,-4.095034e+00
-1.484024e+01,nan
-1.334768e+01,-4.175859e+00
-1.185512e+01,-4.256421e+00
-1.036256e+01,-4.338530e+00
-8.869994e+00,-4.421291e+00
-7.377432e+00,nan
-5.884870e+00,-4.504133e+00
-4.392309e+00,-4.590173e+00
-2.899747e+00,-4.680411e+00
-1.407185e+00,nan
8.537735e-02,-4.771761e+00
1.577939e+00,-4.864481e+00
3.070501e+00,-4.960335e+00
4.563063e+00,nan
6.055625e+00,-5.058138e+00
7.548187e+00,-5.156975e+00
9.040749e+00,-5.263945e+00
1.053331e+01,nan
1.202587e+01,-5.377074e+00
1.351843e+01,-5.491331e+00
1.501100e+01,-5.612133e+00
1.650356e+01,nan
1.799612e+01,-5.738787e+00
1.948868e+01,-5.871007e+00
2.098124e+01,-6.012456e+00
2.247381e+01,nan
2.396637e+01,-6.168135e+00
2.545893e+01,-6.335888e+00
2.695149e+01,-6.518676e+00
2.844405e+01,-6.536677e+00
2.993662e+01,-7.705028e+00
3.142918e+01,-6.964389e+00
3.292174e+01,-7.237076e+00
3.441430e+01,-7.636822e+00
3.590686e+01,nan
3.739943e+01,-7.974700e+00
3.889199e+01,-9.715408e+00
4.038455e+01,-7.226112e+00
4.187711e+01,nan
4.336967e+01,-9.004674e+00
4.486224e+01,-9.927052e+00
4.635480e+01,-1.103070e+01
4.784736e+01,nan
4.933992e+01,-1.233807e+01
5.083248e+01,-1.551148e+01
5.232505e+01,-2.049438e+01
5.381761e+01,-4.101022e+01
