x,S11
-9.395559e+01,-1.288356e+01
-9.246312e+01,-9.233999e+00
-9.097065e+01,-7.212725e+00
-8.947818e+01,-6.106780e+00
-8.798571e+01,nan
-8.649324e+01,-5.287104e+00
-8.500077e+01,-4.750430e+00
-8.350830e+01,-4.379082e+00
-8.201583e+01,nan
-8.052336e+01,-4.131650e+00
-7.903089e+01,-3.979573e+00
-7.753842e+01,-3.904711e+00
-7.604595e+01,nan
-7.455348e+01,-3.890189e+00
-7.306101e+01,-3.914285e+00
-7.156854e+01,-3.970470e+00
-7.007607e+01,-3.985955e+00
-6.858360e+01,-5.707749e+00
-6.709113e+01,-4.163626e+00
-6.559866e+01,-4.277239e+00
-6.410619e+01,-4.400786e+00
-6.261372e+01,nan
-6.112125e+01,-4.543213e+00
-5.962878e+01,-4.785088e+00
-5.813631e+01,-4.971660e+00
-5.664384e+01,nan
-5.515137e+01,-4.919114e+00
-5.365890e+01,-5.318681e+00
-5.216643e+01,-5.355210e+00
-5.067396e+01,nan
-4.918149e+01,-5.505976e+00
-4.768902e+01,-5.690587e+00
-4.619655e+01,-5.867966e+00
-4.470407e+01,-6.045902e+00
-4.321160e+01,nan
-4.171913e+01,-6.215890e+00
-4.022666e+01,-6.378513e+00
-3.873419e+01,-6.539104e+00
-3.724172e+01,nan
-3.574925e+01,-6.706689e+00
-3.425678e+01,-6.872659e+00
-3.276431e+01,-7.030657e+00
-3.127184e+01,nan
-2.977937e+01,-7.184753e+00
-2.828690e+01,-7.346554e+00
-2.679443e+01,-7.510505e+00
-2.530196e+01,-7.666157e+00
-2.380949e+01,nan
-2.231702e+01,-7.818243e+00
-2.082455e+01,-7.984011e+00
-1.933208e+01,-8.172307e+00
-1.783961e+01,nan
-1.634714e+01,-8.364775e+00
-1.485467e+01,-8.658401e+00
-1.336220e+01,-8.816084e+00
-1.186973e+01,nan
-1.037726e+01,-1.053081e+01
-8.884789e+00,-7.116713e+00
-7.392319e+00,-8.803311e+00
-5.899848e+00,nan
-4.407378e+00,-9.234939e+00
-2.914908e+00,-9.444318e+00
-1.422438e+00,-9.626297e+00
7.003258e-02,nan
1.562503e+00,-9.790625e+00
3.054973e+00,-9.955744e+00
4.547443e+00,-1.012967e+01
6.039914e+00,nan
7.532384e+00,-1.031392e+01
9.024854e+00,-1.050784e+01
1.051732e+01,-1.070949e+01
1.200979e+01,nan
1.350226e+01,-1.092231e+01
1.499474e+01,-1.114458e+01
1.648721e+01,-1.137746e+01
1.797968e+01,nan
1.947215e+01,-1.162510e+01
2.096462e+01,-1.188923e+01
2.245709e+01,-1.217255e+01
2.394956e+01,nan
2.544203e+01,-1.247873e+01
2.693450e+01,-1.281264e+01
2.842697e+01,-1.317983e+01
2.991944e+01,-1.760785e+01
3.141191e+01,-1.324125e+01
3.290438e+01,-1.405016e+01
3.439685e+01,-1.457652e+01
3.588932e+01,-1.696081e+01
3.738179e+01,-1.485174e+01
3.887426e+01,-1.593183e+01
4.036673e+01,-1.678805e+01
4.185920e+01,-1.853182e+01
4.335167e+01,-1.793824e+01
4.484414e+01,-1.927554e+01
4.633661e+01,-2.143628e+01
4.782908e+01,-2.406112e+01
4.932155e+01,nan
5.081402e+01,-3.061044e+01
5.230649e+01,-4.134791e+01
5.379896e+01,-8.344512e+01
