x,Mu
-9.382806e+01,1.891027e+00
-9.233682e+01,2.007664e+00
-9.084558e+01,2.372542e+00
-8.935434e+01,2.517853e+00
-8.786310e+01,nan
-8.637185e+01,2.677830e+00
-8.488061e+01,2.793363e+00
-8.338937e+01,2.819356e+00
-8.189813e+01,nan
-8.040688e+01,2.648669e+00
-7.891564e+01,2.810747e+00
-7.742440e+01,3.033929e+00
-7.593316e+01,2.464150e+00
-7.444192e+01,nan
-7.295067e+01,2.717820e+00
-7.145943e+01,1.812656e+00
-6.996819e+01,2.852514e+00
-6.847695e+01,nan
-6.698571e+01,2.592217e+00
-6.549446e+01,2.513259e+00
-6.400322e+01,2.475121e+00
-6.251198e+01,nan
-6.102074e+01,2.484061e+00
-5.952949e+01,2.472311e+00
-5.803825e+01,2.667877e+00
-5.654701e+01,2.224826e+00
-5.505577e+01,nan
-5.356453e+01,3.963864e+00
-5.207328e+01,1.223039e+00
-5.058204e+01,8.473515e-01
-4.909080e+01,nan
-4.759956e+01,7.572662e-01
-4.610832e+01,7.247535e-01
-4.461707e+01,7.155746e-01
-4.312583e+01,nan
-4.163459e+01,7.142528e-01
-4.014335e+01,7.145613e-01
-3.865210e+01,7.147602e-01
-3.716086e+01,nan
-3.566962e+01,7.143146e-01
-3.417838e+01,7.131698e-01
-3.268714e+01,7.114924e-01
-3.119589e+01,nan
-2.970465e+01,7.094090e-01
-2.821341e+01,7.071163e-01
-2.672217e+01,7.047606e-01
-2.523093e+01,nan
-2.373968e+01,7.022093e-01
-2.224844e+01,6.995084e-01
-2.075720e+01,6.967277e-01
-1.926596e+01,nan
-1.777471e+01,6.937259e-01
-1.628347e+01,6.905102e-01
-1.479223e+01,6.870859e-01
-1.330099e+01,6.834519e-01
-1.180975e+01,nan
-1.031850e+01,6.796378e-01
-8.827262e+00,6.758165e-01
-7.336019e+00,6.721476e-01
-5.844777e+00,nan
-4.353535e+00,6.686947e-01
-2.862293e+00,6.654916e-01
-1.371051e+00,6.625103e-01
1.201913e-01,nan
1.611433e+00,6.597926e-01
3.102676e+00,6.574486e-01
4.593918e+00,6.553366e-01
6.085160e+00,nan
7.576402e+00,6.534858e-01
9.067644e+00,6.519976e-01
1.055889e+01,6.509325e-01
1.205013e+01,nan
1.354137e+01,6.497404e-01
1.503261e+01,6.494086e-01
1.652385e+01,6.457661e-01
1.801510e+01,nan
1.950634e+01,6.472575e-01
2.099758e+01,6.526927e-01
2.248882e+01,6.478313e-01
2.398007e+01,nan
2.547131e+01,6.475526e-01
2.696255e+01,6.502476e-01
2.845379e+01,6.505809e-01
2.994503e+01,nan
3.143628e+01,6.516896e-01
3.292752e+01,6.529127e-01
3.441876e+01,6.544689e-01
3.591000e+01,nan
3.740124e+01,6.562469e-01
3.889249e+01,6.581795e-01
4.038373e+01,6.604791e-01
4.187497e+01,6.692413e-01
4.336621e+01,6.618677e-01
4.485746e+01,6.651444e-01
4.634870e+01,6.655741e-01
4.783994e+01,6.908544e-01
4.933118e+01,6.595892e-01
5.082242e+01,6.690803e-01
5.231367e+01,6.135971e-01
5.380491e+01,3.200022e-01
