x,Mu
-9.396914e+01,1.663836e+00
-9.247656e+01,1.922516e+00
-9.098398e+01,2.319478e+00
-8.949140e+01,2.461895e+00
-8.799881e+01,nan
-8.650623e+01,2.579528e+00
-8.501365e+01,2.650801e+00
-8.352107e+01,2.686280e+00
-8.202849e+01,nan
-8.053590e+01,2.683143e+00
-7.904332e+01,2.663501e+00
-7.755074e+01,2.612525e+00
-7.605816e+01,2.535240e+00
-7.456558e+01,nan
-7.307300e+01,2.333211e+00
-7.158041e+01,1.984235e+00
-7.008783e+01,2.748402e+00
-6.859525e+01,nan
-6.710267e+01,2.221207e+00
-6.561009e+01,2.199594e+00
-6.411751e+01,2.126020e+00
-6.262492e+01,2.016192e+00
-6.113234e+01,nan
-5.963976e+01,1.927176e+00
-5.814718e+01,1.854129e+00
-5.665460e+01,1.791330e+00
-5.516202e+01,nan
-5.366943e+01,1.740618e+00
-5.217685e+01,1.703338e+00
-5.068427e+01,1.677240e+00
-4.919169e+01,1.667917e+00
-4.769911e+01,nan
-4.620653e+01,1.685667e+00
-4.471394e+01,1.703583e+00
-4.322136e+01,1.868242e+00
-4.172878e+01,nan
-4.023620e+01,1.718661e+00
-3.874362e+01,2.600930e+00
-3.725104e+01,8.851083e-01
-3.575845e+01,6.165673e-01
-3.426587e+01,nan
-3.277329e+01,5.594532e-01
-3.128071e+01,5.411239e-01
-2.978813e+01,5.401430e-01
-2.829555e+01,nan
-2.680296e+01,5.454227e-01
-2.531038e+01,5.524443e-01
-2.381780e+01,5.595109e-01
-2.232522e+01,nan
-2.083264e+01,5.659383e-01
-1.934005e+01,5.715316e-01
-1.784747e+01,5.762780e-01
-1.635489e+01,nan
-1.486231e+01,5.802506e-01
-1.336973e+01,5.835191e-01
-1.187715e+01,5.861961e-01
-1.038456e+01,nan
-8.891983e+00,5.884871e-01
-7.399401e+00,5.903791e-01
-5.906819e+00,5.919357e-01
-4.414238e+00,nan
-2.921656e+00,5.933205e-01
-1.429074e+00,5.945909e-01
6.350742e-02,5.957593e-01
1.556089e+00,nan
3.048671e+00,5.968821e-01
4.541253e+00,5.979981e-01
6.033834e+00,5.991249e-01
7.526416e+00,nan
9.018998e+00,6.002746e-01
1.051158e+01,6.014844e-01
1.200416e+01,6.027959e-01
1.349674e+01,nan
1.498932e+01,6.042461e-01
1.648191e+01,6.058403e-01
1.797449e+01,6.077091e-01
1.946707e+01,nan
2.095965e+01,6.093543e-01
2.245223e+01,6.116685e-01
2.394481e+01,6.107507e-01
2.543740e+01,nan
2.692998e+01,6.150296e-01
2.842256e+01,6.219389e-01
2.991514e+01,6.199809e-01
3.140772e+01,nan
3.290031e+01,6.228445e-01
3.439289e+01,6.268399e-01
3.588547e+01,6.297652e-01
3.737805e+01,nan
3.887063e+01,6.330470e-01
4.036321e+01,6.369911e-01
4.185580e+01,6.395389e-01
4.334838e+01,nan
4.484096e+01,6.458396e-01
4.633354e+01,6.422481e-01
4.782612e+01,6.575966e-01
4.931870e+01,nan
5.081129e+01,6.339254e-01
5.230387e+01,6.396972e-01
5.379645e+01,3.267984e-01
