x,S11
-9.395076e+01,-9.671428e+00
-9.245837e+01,-6.874689e+00
-9.096598e+01,-5.402033e+00
-8.947359e+01,-4.583501e+00
-8.798119e+01,nan
-8.648880e+01,-3.983813e+00
-8.499641e+01,-3.586200e+00
-8.350402e+01,-3.313885e+00
-8.201162e+01,nan
-8.051923e+01,-3.137068e+00
-7.902684e+01,-3.028066e+00
-7.753444e+01,-2.972683e+00
-7.604205e+01,nan
-7.454966e+01,-2.957678e+00
-7.305727e+01,-2.977276e+00
-7.156487e+01,-3.023273e+00
-7.007248e+01,nan
-6.858009e+01,-3.086275e+00
-6.708770e+01,-3.163938e+00
-6.559530e+01,-3.251738e+00
-6.410291e+01,-3.196835e+00
-6.261052e+01,-3.965898e+00
-6.111813e+01,-3.458898e+00
-5.962573e+01,-3.569485e+00
-5.813334e+01,-3.681673e+00
-5.664095e+01,nan
-5.514856e+01,-3.793725e+00
-5.365616e+01,-3.911755e+00
-5.216377e+01,-4.035262e+00
-5.067138e+01,nan
-4.917898e+01,-4.194632e+00
-4.768659e+01,-4.330603e+00
-4.619420e+01,-4.356645e+00
-4.470181e+01,nan
-4.320941e+01,-4.581559e+00
-4.171702e+01,-4.642023e+00
-4.022463e+01,-4.756983e+00
-3.873224e+01,nan
-3.723984e+01,-4.888273e+00
-3.574745e+01,-5.012354e+00
-3.425506e+01,-5.136286e+00
-3.276267e+01,-5.259528e+00
-3.127027e+01,nan
-2.977788e+01,-5.380099e+00
-2.828549e+01,-5.498655e+00
-2.679309e+01,-5.614848e+00
-2.530070e+01,nan
-2.380831e+01,-5.733363e+00
-2.231592e+01,-5.855527e+00
-2.082352e+01,-5.976326e+00
-1.933113e+01,nan
-1.783874e+01,-6.095429e+00
-1.634635e+01,-6.213083e+00
-1.485395e+01,-6.332212e+00
-1.336156e+01,nan
-1.186917e+01,-6.457068e+00
-1.037678e+01,-6.581969e+00
-8.884383e+00,-6.705199e+00
-7.391990e+00,nan
-5.899598e+00,-6.828300e+00
-4.407205e+00,-6.953041e+00
-2.914812e+00,-7.088060e+00
-1.422420e+00,-7.230596e+00
6.997311e-02,nan
1.562366e+00,-7.388870e+00
3.054758e+00,-7.562130e+00
4.547151e+00,-7.830680e+00
6.039544e+00,nan
7.531936e+00,-7.978185e+00
9.024329e+00,-9.447237e+00
1.051672e+01,-6.483680e+00
1.200911e+01,nan
1.350151e+01,-7.993721e+00
1.499390e+01,-8.401909e+00
1.648629e+01,-8.615312e+00
1.797868e+01,nan
1.947108e+01,-8.813224e+00
2.096347e+01,-9.006664e+00
2.245586e+01,-9.211507e+00
2.394826e+01,nan
2.544065e+01,-9.435212e+00
2.693304e+01,-9.679621e+00
2.842543e+01,-9.949120e+00
2.991783e+01,nan
3.141022e+01,-1.025156e+01
3.290261e+01,-1.059474e+01
3.439500e+01,-1.098843e+01
3.588740e+01,nan
3.737979e+01,-1.144816e+01
3.887218e+01,-1.199625e+01
4.036457e+01,-1.265329e+01
4.185697e+01,-1.731499e+01
4.334936e+01,-1.316820e+01
4.484175e+01,-1.452612e+01
4.633415e+01,-1.616210e+01
4.782654e+01,-1.800037e+01
4.931893e+01,nan
5.081132e+01,-2.254061e+01
5.230372e+01,-3.112538e+01
5.379611e+01,-6.176908e+01
