x,S12
-9.396330e+01,1.641109e+01
-9.247077e+01,1.446108e+01
-9.097824e+01,1.294624e+01
-8.948571e+01,1.150971e+01
-8.799318e+01,nan
-8.650065e+01,1.044898e+01
-8.500812e+01,9.647428e+00
-8.351559e+01,9.037638e+00
-8.202306e+01,nan
-8.053054e+01,8.569820e+00
-7.903801e+01,8.196591e+00
-7.754548e+01,7.892084e+00
-7.605295e+01,7.647281e+00
-7.456042e+01,nan
-7.306789e+01,7.442796e+00
-7.157536e+01,7.268579e+00
-7.008283e+01,7.148248e+00
-6.859030e+01,nan
-6.709777e+01,6.842510e+00
-6.560524e+01,6.937255e+00
-6.411271e+01,6.730903e+00
-6.262018e+01,nan
-6.112765e+01,6.639243e+00
-5.963512e+01,6.591770e+00
-5.814260e+01,6.525872e+00
-5.665007e+01,6.463131e+00
-5.515754e+01,nan
-5.366501e+01,6.405020e+00
-5.217248e+01,6.363828e+00
-5.067995e+01,6.339333e+00
-4.918742e+01,nan
-4.769489e+01,6.325505e+00
-4.620236e+01,6.331290e+00
-4.470983e+01,6.365621e+00
-4.321730e+01,6.428786e+00
-4.172477e+01,nan
-4.023224e+01,6.537134e+00
-3.873971e+01,6.719287e+00
-3.724718e+01,7.015724e+00
-3.575466e+01,nan
-3.426213e+01,7.488809e+00
-3.276960e+01,8.425856e+00
-3.127707e+01,1.017902e+01
-2.978454e+01,nan
-2.829201e+01,7.578956e+00
-2.679948e+01,4.155994e+00
-2.530695e+01,3.139964e+00
-2.381442e+01,nan
-2.232189e+01,2.994047e+00
-2.082936e+01,2.996455e+00
-1.933683e+01,3.070946e+00
-1.784430e+01,nan
-1.635177e+01,3.171666e+00
-1.485924e+01,3.281792e+00
-1.336672e+01,3.393692e+00
-1.187419e+01,nan
-1.038166e+01,3.504189e+00
-8.889127e+00,3.612117e+00
-7.396598e+00,3.717320e+00
-5.904069e+00,5.035029e+00
-4.411539e+00,3.713948e+00
-2.919010e+00,3.919654e+00
-1.426481e+00,4.018717e+00
6.604856e-02,4.947990e+00
1.558578e+00,3.958506e+00
3.051107e+00,4.214560e+00
4.543637e+00,4.313365e+00
6.036166e+00,5.329973e+00
7.528695e+00,4.239289e+00
9.021225e+00,4.516625e+00
1.051375e+01,4.622693e+00
1.200628e+01,5.377683e+00
1.349881e+01,4.529242e+00
1.499134e+01,4.847997e+00
1.648387e+01,4.968777e+00
1.797640e+01,5.481859e+00
1.946893e+01,4.879249e+00
2.096146e+01,5.231894e+00
2.245399e+01,5.378003e+00
2.394652e+01,5.568127e+00
2.543905e+01,5.374419e+00
2.693158e+01,5.712148e+00
2.842411e+01,5.907086e+00
2.991664e+01,6.122075e+00
3.140916e+01,nan
3.290169e+01,6.313221e+00
3.439422e+01,6.621061e+00
3.588675e+01,6.944429e+00
3.737928e+01,nan
3.887181e+01,7.308750e+00
4.036434e+01,7.765868e+00
4.185687e+01,8.329964e+00
4.334940e+01,nan
4.484193e+01,9.064168e+00
4.633446e+01,1.007308e+01
4.782699e+01,1.151005e+01
4.931952e+01,nan
5.081205e+01,1.406817e+01
5.230458e+01,1.931643e+01
5.379710e+01,1.923290e+01
