y_mm,mu
-94.25,0.780685
-92.75,0.863314
-91.25,0.844064
-89.75,0.825596
-88.25,0.803094
-86.75,0.784336
-85.25,0.768628
-83.75,0.75607
-82.25,0.746034
-80.75,0.737981
-79.25,0.731536
-77.75,0.726441
-76.25,0.722395
-74.75,0.719241
-73.25,0.716753
-71.75,0.714733
-70.25,0.713129
-68.75,0.711871
-67.25,0.710818
-65.75,0.70983
-64.25,0.709274
-62.75,0.709029
-61.25,0.708816
-59.75,0.708689
-58.25,0.708659
-56.75,0.708713
-55.25,0.708696
-53.75,0.708877
-52.25,0.708979
-50.75,0.709088
-49.25,0.707864
-47.75,0.712392
-46.25,0.708932
-44.75,0.710218
-43.25,0.712435
-41.75,0.711951
-40.25,0.711973
-38.75,0.712387
-37.25,0.713034
-35.75,0.713816
-34.25,0.714553
-32.75,0.715285
-31.25,0.716029
-29.75,0.71688
-28.25,0.717518
-26.75,0.718146
-25.25,0.719201
-23.75,0.720367
-22.25,0.721515
-20.75,0.722739
-19.25,0.724084
-17.75,0.725493
-16.25,0.726938
-14.75,0.728651
-13.25,0.730611
-11.75,0.732942
-10.25,0.735747
-8.75,0.738897
-7.25,0.742617
-5.75,0.747117
-4.25,0.752646
-2.75,0.759541
-1.25,0.76899
0.25,0.782093
1.75,0.801344
3.25,0.831354
4.75,0.873503
6.25,0.948548
7.75,1.06742
9.25,1.92332
10.75,3.22285
12.25,2.34988
13.75,1.85833
15.25,1.63897
16.75,1.4851
18.25,1.38335
19.75,1.30332
21.25,1.2378
22.75,1.18223
24.25,1.1338
25.75,1.09155
27.25,1.05084
28.75,1.01392
30.25,0.979287
31.75,0.94945
33.25,0.920528
34.75,0.891703
36.25,0.866278
37.75,0.842712
39.25,0.821872
40.75,0.80108
42.25,0.78255
43.75,0.766422
45.25,0.753054
46.75,0.741724
48.25,0.731469
49.75,0.719261
51.25,0.71765
52.75,0.637124
54.25,0.690917
