x,Mu
-9.396164e+01,8.167578e-01
-9.246755e+01,8.560056e-01
-9.097347e+01,8.490011e-01
-8.947939e+01,8.258897e-01
-8.798530e+01,8.062657e-01
-8.649122e+01,7.878935e-01
-8.499714e+01,7.727218e-01
-8.350305e+01,7.602725e-01
-8.200897e+01,7.502674e-01
-8.051489e+01,7.421824e-01
-7.902080e+01,7.357993e-01
-7.752672e+01,7.308208e-01
-7.603264e+01,7.269125e-01
-7.453855e+01,7.239582e-01
-7.304447e+01,7.215443e-01
-7.155039e+01,7.196225e-01
-7.005630e+01,7.180990e-01
-6.856222e+01,7.168630e-01
-6.706814e+01,7.155739e-01
-6.557405e+01,7.147815e-01
-6.407997e+01,7.143736e-01
-6.258589e+01,7.139671e-01
-6.109180e+01,7.136587e-01
-5.959772e+01,7.134558e-01
-5.810364e+01,7.133431e-01
-5.660955e+01,7.131353e-01
-5.511547e+01,7.131825e-01
-5.362139e+01,7.130698e-01
-5.212730e+01,7.128931e-01
-5.063322e+01,7.122225e-01
-4.913914e+01,7.176239e-01
-4.764505e+01,7.110666e-01
-4.615097e+01,7.157206e-01
-4.465689e+01,7.165846e-01
-4.316280e+01,7.156145e-01
-4.166872e+01,7.162008e-01
-4.017463e+01,7.168175e-01
-3.868055e+01,7.176992e-01
-3.718647e+01,7.186063e-01
-3.569238e+01,7.194717e-01
-3.419830e+01,7.203932e-01
-3.270422e+01,7.213884e-01
-3.121013e+01,7.222789e-01
-2.971605e+01,7.231426e-01
-2.822197e+01,7.244354e-01
-2.672788e+01,7.259160e-01
-2.523380e+01,7.273215e-01
-2.373972e+01,7.288656e-01
-2.224563e+01,7.305262e-01
-2.075155e+01,7.322456e-01
-1.925747e+01,7.341194e-01
-1.776338e+01,7.363336e-01
-1.626930e+01,7.388761e-01
-1.477522e+01,7.420244e-01
-1.328113e+01,7.456615e-01
-1.178705e+01,7.499933e-01
-1.029297e+01,7.553494e-01
-8.798883e+00,7.621478e-01
-7.304800e+00,7.709943e-01
-5.810717e+00,7.832023e-01
-4.316633e+00,8.006505e-01
-2.822550e+00,8.267922e-01
-1.328466e+00,8.643623e-01
1.656170e-01,9.310395e-01
1.659700e+00,1.021803e+00
3.153784e+00,1.536676e+00
4.647867e+00,1.735818e+00
6.141951e+00,8.483365e+01
7.636034e+00,2.690175e+00
9.130117e+00,2.235732e+00
1.062420e+01,1.886005e+00
1.211828e+01,1.694943e+00
1.361237e+01,1.558620e+00
1.510645e+01,1.458900e+00
1.660053e+01,1.380817e+00
1.809462e+01,1.316837e+00
1.958870e+01,1.261500e+00
2.108278e+01,1.213325e+00
2.257687e+01,1.170922e+00
2.407095e+01,1.132418e+00
2.556503e+01,1.098242e+00
2.705912e+01,1.066964e+00
2.855320e+01,1.036823e+00
3.004729e+01,1.009004e+00
3.154137e+01,9.829459e-01
3.303545e+01,9.581190e-01
3.452954e+01,9.349072e-01
3.602362e+01,9.126033e-01
3.751770e+01,8.904307e-01
3.901179e+01,8.692416e-01
4.050587e+01,8.489799e-01
4.199995e+01,8.296387e-01
4.349404e+01,8.119097e-01
4.498812e+01,7.950854e-01
4.648220e+01,7.793794e-01
4.797629e+01,7.650920e-01
4.947037e+01,7.497037e-01
5.096445e+01,7.368207e-01
5.245854e+01,6.451768e-01
5.395262e+01,4.890310e-01
