x,S12
-9.396639e+01,5.913955e+00
-9.247229e+01,5.105845e+00
-9.097819e+01,4.575414e+00
-8.948409e+01,4.146925e+00
-8.798999e+01,3.802966e+00
-8.649589e+01,3.543076e+00
-8.500179e+01,3.345820e+00
-8.350769e+01,3.197968e+00
-8.201360e+01,3.088994e+00
-8.051950e+01,3.010783e+00
-7.902540e+01,2.956787e+00
-7.753130e+01,2.922462e+00
-7.603720e+01,2.900830e+00
-7.454310e+01,2.890315e+00
-7.304900e+01,2.890700e+00
-7.155490e+01,2.899989e+00
-7.006080e+01,2.917170e+00
-6.856670e+01,2.939420e+00
-6.707260e+01,2.964622e+00
-6.557850e+01,2.991909e+00
-6.408440e+01,3.035031e+00
-6.259030e+01,3.064009e+00
-6.109620e+01,3.108385e+00
-5.960211e+01,3.158718e+00
-5.810801e+01,3.206195e+00
-5.661391e+01,3.255183e+00
-5.511981e+01,3.307581e+00
-5.362571e+01,3.363776e+00
-5.213161e+01,3.424576e+00
-5.063751e+01,3.487436e+00
-4.914341e+01,3.551122e+00
-4.764931e+01,3.619034e+00
-4.615521e+01,3.692062e+00
-4.466111e+01,3.770486e+00
-4.316701e+01,3.854349e+00
-4.167291e+01,3.942498e+00
-4.017881e+01,4.037582e+00
-3.868471e+01,4.142967e+00
-3.719061e+01,4.264063e+00
-3.569652e+01,4.407756e+00
-3.420242e+01,4.587783e+00
-3.270832e+01,4.829478e+00
-3.121422e+01,5.185850e+00
-2.972012e+01,5.765753e+00
-2.822602e+01,6.707765e+00
-2.673192e+01,9.938200e+00
-2.523782e+01,2.166138e+01
-2.374372e+01,2.800988e+01
-2.224962e+01,2.131547e+01
-2.075552e+01,1.766539e+01
-1.926142e+01,1.566039e+01
-1.776732e+01,1.432781e+01
-1.627322e+01,1.339872e+01
-1.477912e+01,1.271476e+01
-1.328503e+01,1.219329e+01
-1.179093e+01,1.178255e+01
-1.029683e+01,1.145102e+01
-8.802727e+00,1.117824e+01
-7.308628e+00,1.095012e+01
-5.814529e+00,1.075804e+01
-4.320429e+00,1.059989e+01
-2.826330e+00,1.046343e+01
-1.332231e+00,1.034814e+01
1.618688e-01,1.025134e+01
1.655968e+00,1.017077e+01
3.150067e+00,1.010481e+01
4.644167e+00,1.005222e+01
6.138266e+00,1.001059e+01
7.632366e+00,9.983166e+00
9.126465e+00,9.968647e+00
1.062056e+01,9.962874e+00
1.211466e+01,9.967281e+00
1.360876e+01,9.982335e+00
1.510286e+01,1.000759e+01
1.659696e+01,1.004319e+01
1.809106e+01,1.008944e+01
1.958516e+01,1.014454e+01
2.107926e+01,1.021557e+01
2.257336e+01,1.030008e+01
2.406746e+01,1.039419e+01
2.556156e+01,1.050359e+01
2.705566e+01,1.062860e+01
2.854976e+01,1.077131e+01
3.004386e+01,1.093477e+01
3.153796e+01,1.112171e+01
3.303205e+01,1.133258e+01
3.452615e+01,1.156800e+01
3.602025e+01,1.178818e+01
3.751435e+01,1.209235e+01
3.900845e+01,1.258658e+01
4.050255e+01,1.297688e+01
4.199665e+01,1.347843e+01
4.349075e+01,1.410162e+01
4.498485e+01,1.488991e+01
4.647895e+01,1.589725e+01
4.797305e+01,1.723926e+01
4.946715e+01,1.905299e+01
5.096125e+01,2.237468e+01
5.245535e+01,2.477606e+01
5.394945e+01,2.970035e+01
