y_mm,mu
-94.25,0.820781
-92.75,0.904195
-91.25,0.885489
-89.75,0.862956
-88.25,0.838523
-86.75,0.818438
-85.25,0.801223
-83.75,0.786498
-82.25,0.776428
-80.75,0.7697
-79.25,0.767017
-77.75,0.751149
-76.25,0.756248
-74.75,0.757534
-73.25,0.753917
-71.75,0.754005
-70.25,0.756055
-68.75,0.760266
-67.25,0.764069
-65.75,0.769781
-64.25,0.779501
-62.75,0.790805
-61.25,0.805135
-59.75,0.827267
-58.25,0.862004
-56.75,0.914178
-55.25,0.987785
-53.75,1.11891
-52.25,1.33631
-50.75,2.71976
-49.25,5.29034
-47.75,3.66655
-46.25,2.73141
-44.75,2.36142
-43.25,2.10495
-41.75,1.93683
-40.25,1.81109
-38.75,1.71053
-37.25,1.62541
-35.75,1.55118
-34.25,1.48513
-32.75,1.42565
-31.25,1.3716
-29.75,1.32223
-28.25,1.27797
-26.75,1.23549
-25.25,1.19682
-23.75,1.16106
-22.25,1.12779
-20.75,1.0968
-19.25,1.06785
-17.75,1.04074
-16.25,1.0154
-14.75,0.991284
-13.25,0.969859
-11.75,0.948438
-10.25,0.928277
-8.75,0.909603
-7.25,0.891869
-5.75,0.875114
-4.25,0.859251
-2.75,0.844178
-1.25,0.830003
0.25,0.81613
1.75,0.803932
3.25,0.791947
4.75,0.779753
6.25,0.76889
7.75,0.758347
9.25,0.748362
10.75,0.738837
12.25,0.729751
13.75,0.721152
15.25,0.712812
16.75,0.705319
18.25,0.698145
19.75,0.690371
21.25,0.678908
22.75,0.67035
24.25,0.684392
25.75,0.657393
27.25,0.659479
28.75,0.651833
30.25,0.647047
31.75,0.642091
33.25,0.638286
34.75,0.633872
36.25,0.630325
37.75,0.627491
39.25,0.625461
40.75,0.624443
42.25,0.624683
43.75,0.626409
45.25,0.629993
46.75,0.634952
48.25,0.643346
49.75,0.645771
51.25,0.665406
52.75,0.583431
54.25,0.722018
