y_mm,mu
-94.25,0.811198
-92.75,0.886607
-91.25,0.867251
-89.75,0.845708
-88.25,0.820877
-86.75,0.799617
-85.25,0.781773
-83.75,0.767508
-82.25,0.756486
-80.75,0.747955
-79.25,0.741204
-77.75,0.735748
-76.25,0.731014
-74.75,0.727397
-73.25,0.725062
-71.75,0.723281
-70.25,0.721847
-68.75,0.720506
-67.25,0.719359
-65.75,0.719208
-64.25,0.719716
-62.75,0.718099
-61.25,0.720328
-59.75,0.721166
-58.25,0.720553
-56.75,0.721057
-55.25,0.722494
-53.75,0.724212
-52.25,0.726069
-50.75,0.727574
-49.25,0.729197
-47.75,0.73189
-46.25,0.735135
-44.75,0.738684
-43.25,0.742575
-41.75,0.74977
-40.25,0.760214
-38.75,0.770144
-37.25,0.783043
-35.75,0.800907
-34.25,0.826283
-32.75,0.866719
-31.25,0.925011
-29.75,1.02834
-28.25,1.19455
-26.75,2.30734
-25.25,4.96951
-23.75,3.35958
-22.25,2.96405
-20.75,2.27626
-19.25,1.9898
-17.75,1.7874
-16.25,1.6558
-14.75,1.55617
-13.25,1.47641
-11.75,1.40891
-10.25,1.35003
-8.75,1.29754
-7.25,1.25032
-5.75,1.20834
-4.25,1.16816
-2.75,1.13176
-1.25,1.09819
0.25,1.06701
1.75,1.03794
3.25,1.01085
4.75,0.985206
6.25,0.961809
7.75,0.939745
9.25,0.918247
10.75,0.898149
12.25,0.879296
13.75,0.861385
15.25,0.844348
16.75,0.828253
18.25,0.812539
19.75,0.79841
21.25,0.784723
22.75,0.770857
24.25,0.758117
25.75,0.745916
27.25,0.734307
28.75,0.723247
30.25,0.713032
31.75,0.702543
33.25,0.693707
34.75,0.679759
36.25,0.667384
37.75,0.679912
39.25,0.659769
40.75,0.658133
42.25,0.651896
43.75,0.649919
45.25,0.649553
46.75,0.65135
48.25,0.655534
49.75,0.655111
51.25,0.667187
52.75,0.589488
54.25,0.680491
