y_mm,mu
-94.25,0.795334
-92.75,0.878291
-91.25,0.862076
-89.75,0.841284
-88.25,0.816972
-86.75,0.796012
-85.25,0.77849
-83.75,0.764531
-82.25,0.753705
-80.75,0.74526
-79.25,0.738559
-77.75,0.733182
-76.25,0.728711
-74.75,0.725011
-73.25,0.722467
-71.75,0.72072
-70.25,0.719265
-68.75,0.718117
-67.25,0.717094
-65.75,0.716238
-64.25,0.715963
-62.75,0.716624
-61.25,0.715941
-59.75,0.716456
-58.25,0.718098
-56.75,0.717784
-55.25,0.717949
-53.75,0.718962
-52.25,0.72034
-50.75,0.721779
-49.25,0.72327
-47.75,0.724643
-46.25,0.726186
-44.75,0.728509
-43.25,0.731236
-41.75,0.734156
-40.25,0.737417
-38.75,0.741096
-37.25,0.745654
-35.75,0.75151
-34.25,0.759029
-32.75,0.76865
-31.25,0.781338
-29.75,0.798868
-28.25,0.824681
-26.75,0.863159
-25.25,0.926615
-23.75,1.01545
-22.25,1.3087
-20.75,1.74308
-19.25,4.39021
-17.75,2.79496
-16.25,2.27261
-14.75,1.94057
-13.25,1.74888
-11.75,1.61714
-10.25,1.52044
-8.75,1.44306
-7.25,1.378
-5.75,1.32164
-4.25,1.27139
-2.75,1.22554
-1.25,1.18377
0.25,1.14564
1.75,1.11047
3.25,1.07785
4.75,1.04777
6.25,1.01993
7.75,0.993465
9.25,0.968418
10.75,0.94507
12.25,0.923139
13.75,0.902328
15.25,0.882734
16.75,0.864549
18.25,0.847037
19.75,0.829941
21.25,0.813826
22.75,0.79859
24.25,0.783973
25.75,0.770037
27.25,0.757034
28.75,0.744683
30.25,0.732632
31.75,0.721225
33.25,0.710416
34.75,0.699283
36.25,0.686
37.75,0.678574
39.25,0.677096
40.75,0.671095
42.25,0.664038
43.75,0.660058
45.25,0.658525
46.75,0.659723
48.25,0.661795
49.75,0.667946
51.25,0.651771
52.75,0.691937
54.25,0.364726
