x,Mu
-9.394464e+01,1.698993e+00
-9.245157e+01,1.902785e+00
-9.095850e+01,2.269509e+00
-8.946543e+01,2.380818e+00
-8.797236e+01,2.264695e+00
-8.647929e+01,2.460257e+00
-8.498622e+01,2.494766e+00
-8.349315e+01,2.501675e+00
-8.200008e+01,nan
-8.050701e+01,2.477861e+00
-7.901395e+01,2.426028e+00
-7.752088e+01,2.350675e+00
-7.602781e+01,nan
-7.453474e+01,2.251964e+00
-7.304167e+01,2.105242e+00
-7.154860e+01,-3.137402e-01
-7.005553e+01,nan
-6.856246e+01,2.254465e+00
-6.706939e+01,2.058288e+00
-6.557632e+01,1.939239e+00
-6.408326e+01,nan
-6.259019e+01,1.838974e+00
-6.109712e+01,1.748916e+00
-5.960405e+01,1.665605e+00
-5.811098e+01,nan
-5.661791e+01,1.588091e+00
-5.512484e+01,1.516110e+00
-5.363177e+01,1.449802e+00
-5.213870e+01,nan
-5.064564e+01,1.387306e+00
-4.915257e+01,1.329072e+00
-4.765950e+01,1.275538e+00
-4.616643e+01,1.227643e+00
-4.467336e+01,1.186160e+00
-4.318029e+01,1.180148e+00
-4.168722e+01,1.138068e+00
-4.019415e+01,1.099905e+00
-3.870108e+01,nan
-3.720801e+01,1.063348e+00
-3.571495e+01,1.030441e+00
-3.422188e+01,1.000039e+00
-3.272881e+01,nan
-3.123574e+01,9.705132e-01
-2.974267e+01,9.398759e-01
-2.824960e+01,9.137289e-01
-2.675653e+01,nan
-2.526346e+01,8.991645e-01
-2.377039e+01,8.698168e-01
-2.227733e+01,8.565302e-01
-2.078426e+01,nan
-1.929119e+01,8.408904e-01
-1.779812e+01,8.235916e-01
-1.630505e+01,8.074917e-01
-1.481198e+01,nan
-1.331891e+01,7.929277e-01
-1.182584e+01,7.804000e-01
-1.033277e+01,7.681200e-01
-8.839704e+00,nan
-7.346635e+00,7.569027e-01
-5.853566e+00,7.468634e-01
-4.360498e+00,7.376326e-01
-2.867429e+00,7.292139e-01
-1.374360e+00,nan
1.187094e-01,7.215862e-01
1.611778e+00,7.152270e-01
3.104847e+00,7.090866e-01
4.597916e+00,nan
6.090985e+00,7.032521e-01
7.584054e+00,6.985023e-01
9.077123e+00,6.942626e-01
1.057019e+01,nan
1.206326e+01,6.906498e-01
1.355633e+01,6.876593e-01
1.504940e+01,6.856389e-01
1.654247e+01,nan
1.803554e+01,6.840782e-01
1.952861e+01,6.824503e-01
2.102167e+01,6.819369e-01
2.251474e+01,nan
2.400781e+01,6.819063e-01
2.550088e+01,6.825096e-01
2.699395e+01,6.837837e-01
2.848702e+01,nan
2.998009e+01,6.860703e-01
3.147316e+01,6.891798e-01
3.296623e+01,6.924674e-01
3.445930e+01,nan
3.595236e+01,6.973377e-01
3.744543e+01,7.034679e-01
3.893850e+01,7.113355e-01
4.043157e+01,7.210940e-01
4.192464e+01,nan
4.341771e+01,7.347393e-01
4.491078e+01,7.488112e-01
4.640385e+01,7.815344e-01
4.789692e+01,nan
4.938999e+01,7.594987e-01
5.088305e+01,6.447682e-01
5.237612e+01,5.010947e-01
5.386919e+01,1.937470e-01
