y_mm,mu
-94.25,0.772642
-92.75,0.859483
-91.25,0.8459
-89.75,0.827615
-88.25,0.805362
-86.75,0.786393
-85.25,0.770458
-83.75,0.757658
-82.25,0.747414
-80.75,0.73918
-79.25,0.732567
-77.75,0.727332
-76.25,0.723198
-74.75,0.719979
-73.25,0.717437
-71.75,0.71537
-70.25,0.713734
-68.75,0.71244
-67.25,0.71126
-65.75,0.710322
-64.25,0.709854
-62.75,0.709587
-61.25,0.709372
-59.75,0.709262
-58.25,0.70925
-56.75,0.709228
-55.25,0.709289
-53.75,0.709394
-52.25,0.709387
-50.75,0.708969
-49.25,0.711352
-47.75,0.71084
-46.25,0.71002
-44.75,0.712757
-43.25,0.712629
-41.75,0.712442
-40.25,0.713012
-38.75,0.713721
-37.25,0.714575
-35.75,0.715405
-34.25,0.716225
-32.75,0.717099
-31.25,0.71794
-29.75,0.718703
-28.25,0.719681
-26.75,0.720977
-25.25,0.722329
-23.75,0.72372
-22.25,0.725251
-20.75,0.726884
-19.25,0.729653
-17.75,0.733048
-16.25,0.735921
-14.75,0.739349
-13.25,0.743356
-11.75,0.748198
-10.25,0.754218
-8.75,0.761892
-7.25,0.772153
-5.75,0.786599
-4.25,0.807941
-2.75,0.839368
-1.25,0.890462
0.25,0.961051
1.75,1.19619
3.25,1.59304
4.75,2.98182
6.25,4.07675
7.75,2.36426
9.25,1.94622
10.75,1.68167
12.25,1.52486
13.75,1.4153
15.25,1.33363
16.75,1.26798
18.25,1.21182
19.75,1.16203
21.25,1.11756
22.75,1.07712
24.25,1.04027
25.75,1.00667
27.25,0.974869
28.75,0.94476
30.25,0.916841
31.75,0.890698
33.25,0.866366
34.75,0.843763
36.25,0.822224
37.75,0.801904
39.25,0.783299
40.75,0.766443
42.25,0.751724
43.75,0.739111
45.25,0.72846
46.75,0.720166
48.25,0.713954
49.75,0.712477
51.25,0.664904
52.75,0.687306
54.25,0.379438
