y_mm,mu
-94.25,0.821424
-92.75,0.893499
-91.25,0.874045
-89.75,0.849941
-88.25,0.823424
-86.75,0.801594
-85.25,0.783843
-83.75,0.76976
-82.25,0.758586
-80.75,0.74981
-79.25,0.742937
-77.75,0.737535
-76.25,0.733306
-74.75,0.730013
-73.25,0.72753
-71.75,0.725705
-70.25,0.724715
-68.75,0.724324
-67.25,0.722006
-65.75,0.722771
-64.25,0.724401
-62.75,0.724042
-61.25,0.724313
-59.75,0.725331
-58.25,0.726766
-56.75,0.728532
-55.25,0.730583
-53.75,0.732964
-52.25,0.73571
-50.75,0.739088
-49.25,0.743125
-47.75,0.747995
-46.25,0.753975
-44.75,0.76148
-43.25,0.771179
-41.75,0.78416
-40.25,0.802468
-38.75,0.82907
-37.25,0.871046
-35.75,0.931088
-34.25,1.03734
-32.75,1.20465
-31.25,2.35836
-29.75,5.31765
-28.25,3.48745
-26.75,3.09694
-25.25,2.36664
-23.75,2.06059
-22.25,1.84807
-20.75,1.70964
-19.25,1.60525
-17.75,1.52189
-16.25,1.45143
-14.75,1.39015
-13.25,1.33701
-11.75,1.28684
-10.25,1.24201
-8.75,1.18225
-7.25,1.12866
-5.75,1.0958
-4.25,1.06706
-2.75,1.03875
-1.25,1.01203
0.25,0.987453
1.75,0.964298
3.25,0.942564
4.75,0.92183
6.25,0.902693
7.75,0.884908
9.25,0.867259
10.75,0.850422
12.25,0.834822
13.75,0.819846
15.25,0.80562
16.75,0.791895
18.25,0.779305
19.75,0.76758
21.25,0.754849
22.75,0.743751
24.25,0.732902
25.75,0.72264
27.25,0.712889
28.75,0.703488
30.25,0.694658
31.75,0.683635
33.25,0.665727
34.75,0.68446
36.25,0.659289
37.75,0.658164
39.25,0.650986
40.75,0.647419
42.25,0.645073
43.75,0.643542
45.25,0.644443
46.75,0.646567
48.25,0.652337
49.75,0.649243
51.25,0.67697
52.75,0.556834
54.25,0.804338
