x,Mu
-9.396330e+01,9.186364e-01
-9.247077e+01,1.022364e+00
-9.097824e+01,1.024702e+00
-8.948571e+01,9.622879e-01
-8.799318e+01,nan
-8.650065e+01,9.031291e-01
-8.500812e+01,8.585991e-01
-8.351559e+01,8.275005e-01
-8.202306e+01,nan
-8.053054e+01,8.045296e-01
-7.903801e+01,7.861861e-01
-7.754548e+01,7.726733e-01
-7.605295e+01,7.645983e-01
-7.456042e+01,nan
-7.306789e+01,7.584092e-01
-7.157536e+01,7.516152e-01
-7.008283e+01,7.493673e-01
-6.859030e+01,nan
-6.709777e+01,7.528954e-01
-6.560524e+01,7.386978e-01
-6.411271e+01,7.525374e-01
-6.262018e+01,nan
-6.112765e+01,7.504736e-01
-5.963512e+01,7.496530e-01
-5.814260e+01,7.507995e-01
-5.665007e+01,7.537304e-01
-5.515754e+01,nan
-5.366501e+01,7.590566e-01
-5.217248e+01,7.646466e-01
-5.067995e+01,7.702742e-01
-4.918742e+01,nan
-4.769489e+01,7.793728e-01
-4.620236e+01,7.920777e-01
-4.470983e+01,8.074912e-01
-4.321730e+01,8.301911e-01
-4.172477e+01,nan
-4.023224e+01,8.658783e-01
-3.873971e+01,9.150437e-01
-3.724718e+01,9.990566e-01
-3.575466e+01,nan
-3.426213e+01,1.126858e+00
-3.276960e+01,1.716001e+00
-3.127707e+01,1.877931e+00
-2.978454e+01,nan
-2.829201e+01,9.535095e+00
-2.679948e+01,3.214623e+00
-2.530695e+01,2.663534e+00
-2.381442e+01,nan
-2.232189e+01,2.165792e+00
-2.082936e+01,1.907134e+00
-1.933683e+01,1.725351e+00
-1.784430e+01,nan
-1.635177e+01,1.594652e+00
-1.485924e+01,1.492336e+00
-1.336672e+01,1.409205e+00
-1.187419e+01,nan
-1.038166e+01,1.338936e+00
-8.889127e+00,1.278168e+00
-7.396598e+00,1.224714e+00
-5.904069e+00,1.410399e+00
-4.411539e+00,1.156825e+00
-2.919010e+00,1.134323e+00
-1.426481e+00,1.095578e+00
6.604856e-02,1.273568e+00
1.558578e+00,1.019706e+00
3.051107e+00,1.027984e+00
4.543637e+00,9.986778e-01
6.036166e+00,1.191636e+00
7.528695e+00,9.298411e-01
9.021225e+00,9.464304e-01
1.051375e+01,9.233126e-01
1.200628e+01,1.037944e+00
1.349881e+01,8.590582e-01
1.499134e+01,8.822931e-01
1.648387e+01,8.641040e-01
1.797640e+01,9.334221e-01
1.946893e+01,7.988809e-01
2.096146e+01,8.318559e-01
2.245399e+01,8.176274e-01
2.394652e+01,8.175471e-01
2.543905e+01,7.375911e-01
2.693158e+01,7.923978e-01
2.842411e+01,7.816544e-01
2.991664e+01,7.671992e-01
3.140916e+01,nan
3.290169e+01,7.545487e-01
3.439422e+01,7.529496e-01
3.588675e+01,7.514111e-01
3.737928e+01,nan
3.887181e+01,7.405665e-01
4.036434e+01,7.317515e-01
4.185687e+01,7.250037e-01
4.334940e+01,nan
4.484193e+01,7.257455e-01
4.633446e+01,7.061531e-01
4.782699e+01,7.476159e-01
4.931952e+01,nan
5.081205e+01,6.104976e-01
5.230458e+01,8.999515e-01
5.379710e+01,2.748974e-01
