y_mm,mu
-94.25,0.80725
-92.75,0.881886
-91.25,0.862663
-89.75,0.839881
-88.25,0.814343
-86.75,0.793423
-85.25,0.776308
-83.75,0.76277
-82.25,0.752029
-80.75,0.743512
-79.25,0.73675
-77.75,0.73139
-76.25,0.727173
-74.75,0.723844
-73.25,0.721222
-71.75,0.719179
-70.25,0.717606
-68.75,0.716421
-67.25,0.715555
-65.75,0.714958
-64.25,0.71454
-62.75,0.714058
-61.25,0.714352
-59.75,0.715327
-58.25,0.71299
-56.75,0.71628
-55.25,0.716144
-53.75,0.716149
-52.25,0.716809
-50.75,0.717767
-49.25,0.718785
-47.75,0.719937
-46.25,0.721217
-44.75,0.722643
-43.25,0.724235
-41.75,0.725995
-40.25,0.72807
-38.75,0.730427
-37.25,0.733133
-35.75,0.736275
-34.25,0.739969
-32.75,0.744378
-31.25,0.749742
-29.75,0.756421
-28.25,0.765001
-26.75,0.776427
-25.25,0.792479
-23.75,0.815706
-22.25,0.852266
-20.75,0.904389
-19.25,0.99685
-17.75,1.14275
-16.25,2.16898
-14.75,4.61136
-13.25,3.169
-11.75,2.78025
-10.25,2.15925
-8.75,1.88818
-7.25,1.70242
-5.75,1.57939
-4.25,1.48628
-2.75,1.4119
-1.25,1.35055
0.25,1.29435
1.75,1.24522
3.25,1.18082
4.75,1.12354
6.25,1.09066
7.75,1.05835
9.25,1.02838
10.75,1.00092
12.25,0.974975
13.75,0.950612
15.25,0.928653
16.75,0.90706
18.25,0.885874
19.75,0.866694
21.25,0.848166
22.75,0.830591
24.25,0.814458
25.75,0.798998
27.25,0.78294
28.75,0.76867
30.25,0.754827
31.75,0.741725
33.25,0.729822
34.75,0.719095
36.25,0.70778
37.75,0.697428
39.25,0.687539
40.75,0.670337
42.25,0.673763
43.75,0.680012
45.25,0.668781
46.75,0.665764
48.25,0.668184
49.75,0.661067
51.25,0.688328
52.75,0.556933
54.25,0.820177
