y_mm,mu
-94.25,0.805911
-92.75,0.883694
-91.25,0.863248
-89.75,0.841718
-88.25,0.816946
-86.75,0.795948
-85.25,0.778425
-83.75,0.764485
-82.25,0.753691
-80.75,0.745282
-79.25,0.738613
-77.75,0.733264
-76.25,0.728801
-74.75,0.725104
-73.25,0.722613
-71.75,0.720867
-70.25,0.719425
-68.75,0.718286
-67.25,0.717222
-65.75,0.716341
-64.25,0.716057
-62.75,0.71714
-61.25,0.715391
-59.75,0.717183
-58.25,0.718198
-56.75,0.717729
-55.25,0.717968
-53.75,0.719034
-52.25,0.720454
-50.75,0.721833
-49.25,0.723406
-47.75,0.724527
-46.25,0.726024
-44.75,0.728546
-43.25,0.731141
-41.75,0.734075
-40.25,0.737232
-38.75,0.740696
-37.25,0.745169
-35.75,0.750824
-34.25,0.758224
-32.75,0.767395
-31.25,0.779502
-29.75,0.796153
-28.25,0.820303
-26.75,0.858454
-25.25,0.913735
-23.75,1.01124
-22.25,1.1682
-20.75,2.23961
-19.25,4.01344
-17.75,2.86784
-16.25,2.21631
-14.75,1.93708
-13.25,1.74351
-11.75,1.61643
-10.25,1.52026
-8.75,1.4433
-7.25,1.37796
-5.75,1.32177
-4.25,1.27182
-2.75,1.22542
-1.25,1.18375
0.25,1.14563
1.75,1.11044
3.25,1.07783
4.75,1.04739
6.25,1.02029
7.75,0.993391
9.25,0.96825
10.75,0.945063
12.25,0.92303
13.75,0.902426
15.25,0.882298
16.75,0.864648
18.25,0.847278
19.75,0.829608
21.25,0.81385
22.75,0.798496
24.25,0.783972
25.75,0.769872
27.25,0.756802
28.75,0.744942
30.25,0.732376
31.75,0.721188
33.25,0.710457
34.75,0.699907
36.25,0.687602
37.75,0.67065
39.25,0.683824
40.75,0.669163
42.25,0.664021
43.75,0.658849
45.25,0.657556
46.75,0.657828
48.25,0.66101
49.75,0.658954
51.25,0.674927
52.75,0.587237
54.25,0.722665
