x,Mu
-9.395895e+01,8.536654e-01
-9.246646e+01,9.713283e-01
-9.097397e+01,9.747949e-01
-8.948147e+01,9.203198e-01
-8.798898e+01,nan
-8.649649e+01,8.668683e-01
-8.500399e+01,8.281519e-01
-8.351150e+01,8.004588e-01
-8.201900e+01,nan
-8.052651e+01,7.802329e-01
-7.903402e+01,7.646822e-01
-7.754152e+01,7.527326e-01
-7.604903e+01,nan
-7.455654e+01,7.448473e-01
-7.306404e+01,7.397532e-01
-7.157155e+01,7.355754e-01
-7.007906e+01,7.316009e-01
-6.858656e+01,nan
-6.709407e+01,7.297282e-01
-6.560157e+01,7.281116e-01
-6.410908e+01,7.268251e-01
-6.261659e+01,nan
-6.112409e+01,7.317156e-01
-5.963160e+01,7.196539e-01
-5.813911e+01,7.320204e-01
-5.664661e+01,nan
-5.515412e+01,7.316546e-01
-5.366163e+01,7.297497e-01
-5.216913e+01,7.305883e-01
-5.067664e+01,7.330520e-01
-4.918414e+01,nan
-4.769165e+01,7.362150e-01
-4.619916e+01,7.388943e-01
-4.470666e+01,7.414872e-01
-4.321417e+01,nan
-4.172168e+01,7.458186e-01
-4.022918e+01,7.516091e-01
-3.873669e+01,7.575710e-01
-3.724420e+01,nan
-3.575170e+01,7.650452e-01
-3.425921e+01,7.759525e-01
-3.276671e+01,7.904943e-01
-3.127422e+01,8.070825e-01
-2.978173e+01,nan
-2.828923e+01,8.220540e-01
-2.679674e+01,8.527010e-01
-2.530425e+01,9.168257e-01
-2.381175e+01,nan
-2.231926e+01,1.391069e+00
-2.082677e+01,1.689089e+00
-1.933427e+01,-2.395217e+01
-1.784178e+01,nan
-1.634928e+01,2.695201e+00
-1.485679e+01,2.237643e+00
-1.336430e+01,1.860332e+00
-1.187180e+01,nan
-1.037931e+01,1.655971e+00
-8.886817e+00,1.510881e+00
-7.394323e+00,1.405154e+00
-5.901829e+00,nan
-4.409336e+00,1.322637e+00
-2.916842e+00,1.255138e+00
-1.424348e+00,1.198010e+00
6.814528e-02,nan
1.560639e+00,1.148548e+00
3.053133e+00,1.105011e+00
4.545626e+00,1.066223e+00
6.038120e+00,nan
7.530613e+00,1.031357e+00
9.023107e+00,9.997438e-01
1.051560e+01,9.713267e-01
1.200809e+01,nan
1.350059e+01,9.453183e-01
1.499308e+01,9.210538e-01
1.648558e+01,8.989817e-01
1.797807e+01,1.142931e+00
1.947056e+01,8.557211e-01
2.096306e+01,8.600117e-01
2.245555e+01,8.427924e-01
2.394804e+01,1.073491e+00
2.544054e+01,7.799695e-01
2.693303e+01,8.123424e-01
2.842552e+01,7.990460e-01
2.991802e+01,9.922936e-01
3.141051e+01,7.351051e-01
3.290301e+01,7.753633e-01
3.439550e+01,7.620737e-01
3.588799e+01,8.460809e-01
3.738049e+01,6.890928e-01
3.887298e+01,7.432100e-01
4.036547e+01,7.482186e-01
4.185797e+01,7.347515e-01
4.335046e+01,nan
4.484295e+01,7.282629e-01
4.633545e+01,7.069862e-01
4.782794e+01,7.461753e-01
4.932044e+01,nan
5.081293e+01,6.097947e-01
5.230542e+01,8.948681e-01
5.379792e+01,2.744719e-01
