x,Mu
-9.381354e+01,8.413717e-01
-9.232240e+01,9.399337e-01
-9.083125e+01,9.394018e-01
-8.934011e+01,8.906405e-01
-8.784896e+01,nan
-8.635782e+01,8.463853e-01
-8.486667e+01,8.149470e-01
-8.337553e+01,7.911149e-01
-8.188438e+01,nan
-8.039324e+01,7.736329e-01
-7.890209e+01,7.606500e-01
-7.741095e+01,7.511229e-01
-7.591980e+01,nan
-7.442866e+01,7.441441e-01
-7.293751e+01,7.391154e-01
-7.144637e+01,7.355038e-01
-6.995522e+01,nan
-6.846408e+01,7.327284e-01
-6.697293e+01,7.299311e-01
-6.548179e+01,7.316493e-01
-6.399064e+01,nan
-6.249950e+01,7.305999e-01
-6.100835e+01,7.246213e-01
-5.951721e+01,7.380675e-01
-5.802607e+01,7.315015e-01
-5.653492e+01,nan
-5.504378e+01,7.333582e-01
-5.355263e+01,7.353311e-01
-5.206149e+01,7.382838e-01
-5.057034e+01,nan
-4.907920e+01,7.415933e-01
-4.758805e+01,7.454940e-01
-4.609691e+01,7.504693e-01
-4.460576e+01,nan
-4.311462e+01,7.568549e-01
-4.162347e+01,7.650720e-01
-4.013233e+01,7.762212e-01
-3.864118e+01,nan
-3.715004e+01,7.904586e-01
-3.565889e+01,8.077427e-01
-3.416775e+01,8.244968e-01
-3.267660e+01,nan
-3.118546e+01,8.574567e-01
-2.969431e+01,9.238059e-01
-2.820317e+01,1.419828e+00
-2.671202e+01,1.718097e+00
-2.522088e+01,nan
-2.372973e+01,7.696560e+00
-2.223859e+01,2.806230e+00
-2.074745e+01,2.328521e+00
-1.925630e+01,nan
-1.776516e+01,1.926741e+00
-1.627401e+01,1.709751e+00
-1.478287e+01,1.555452e+00
-1.329172e+01,nan
-1.180058e+01,1.444633e+00
-1.030943e+01,1.357882e+00
-8.818287e+00,1.287080e+00
-7.327142e+00,nan
-5.835998e+00,1.227232e+00
-4.344853e+00,1.175394e+00
-2.853708e+00,1.129953e+00
-1.362563e+00,nan
1.285817e-01,1.089783e+00
1.619726e+00,1.053335e+00
3.110871e+00,1.020102e+00
4.602016e+00,nan
6.093161e+00,9.900478e-01
7.584306e+00,9.625973e-01
9.075450e+00,9.374030e-01
1.056660e+01,1.110072e+00
1.205774e+01,8.875895e-01
1.354888e+01,8.928431e-01
1.504003e+01,8.734163e-01
1.653117e+01,8.557285e-01
1.802232e+01,nan
1.951346e+01,8.388405e-01
2.100461e+01,8.233550e-01
2.249575e+01,8.092405e-01
2.398690e+01,nan
2.547804e+01,7.962510e-01
2.696919e+01,7.844944e-01
2.846033e+01,7.734439e-01
2.995148e+01,nan
3.144262e+01,7.634042e-01
3.293377e+01,7.517519e-01
3.442491e+01,7.380923e-01
3.591606e+01,nan
3.740720e+01,7.344636e-01
3.889835e+01,7.384975e-01
4.038949e+01,7.308173e-01
4.188064e+01,nan
4.337178e+01,7.194884e-01
4.486293e+01,7.167538e-01
4.635407e+01,7.064933e-01
4.784521e+01,7.787191e-01
4.933636e+01,7.134497e-01
5.082750e+01,6.403160e-01
5.231865e+01,7.362610e-01
5.380979e+01,2.582591e-01
