y_mm,mu
-94.25,0.792219
-92.75,0.872517
-91.25,0.85259
-89.75,0.832592
-88.25,0.80903
-86.75,0.789202
-85.25,0.772737
-83.75,0.759504
-82.25,0.748901
-80.75,0.740527
-79.25,0.733983
-77.75,0.728889
-76.25,0.724831
-74.75,0.721566
-73.25,0.718971
-71.75,0.716766
-70.25,0.714885
-68.75,0.713702
-67.25,0.712946
-65.75,0.712314
-64.25,0.711863
-62.75,0.711564
-61.25,0.71122
-59.75,0.711055
-58.25,0.710907
-56.75,0.710156
-55.25,0.713463
-53.75,0.710657
-52.25,0.712134
-50.75,0.713916
-49.25,0.713457
-47.75,0.713535
-46.25,0.714172
-44.75,0.715108
-43.25,0.716096
-41.75,0.71705
-40.25,0.718095
-38.75,0.719076
-37.25,0.719869
-35.75,0.721107
-34.25,0.722804
-32.75,0.724452
-31.25,0.726262
-29.75,0.728262
-28.25,0.730341
-26.75,0.732636
-25.25,0.735589
-23.75,0.739066
-22.25,0.74342
-20.75,0.748494
-19.25,0.754783
-17.75,0.762763
-16.25,0.773144
-14.75,0.787935
-13.25,0.809279
-11.75,0.843251
-10.25,0.891269
-8.75,0.976546
-7.25,1.11302
-5.75,2.07039
-4.25,3.58415
-2.75,2.59002
-1.25,2.02976
0.25,1.78135
1.75,1.61054
3.25,1.49655
4.75,1.4095
6.25,1.34094
7.75,1.28206
9.25,1.22951
10.75,1.18313
12.25,1.1414
13.75,1.1025
15.25,1.06869
16.75,1.03593
18.25,1.00497
19.75,0.976462
21.25,0.950002
22.75,0.924299
24.25,0.901897
25.75,0.879923
27.25,0.857671
28.75,0.837923
30.25,0.818794
31.75,0.800677
33.25,0.784157
34.75,0.768725
36.25,0.752789
37.75,0.739211
39.25,0.726686
40.75,0.715635
42.25,0.706405
43.75,0.697623
45.25,0.686468
46.75,0.665663
48.25,0.714213
49.75,0.679119
51.25,0.690814
52.75,0.597265
54.25,0.729123
