y_mm,mu
-94.25,0.768287
-92.75,0.85715
-91.25,0.843217
-89.75,0.825151
-88.25,0.803231
-86.75,0.784462
-85.25,0.76877
-83.75,0.756178
-82.25,0.746111
-80.75,0.73802
-79.25,0.73155
-77.75,0.726429
-76.25,0.722359
-74.75,0.719188
-73.25,0.716681
-71.75,0.714646
-70.25,0.71303
-68.75,0.711761
-67.25,0.710701
-65.75,0.709725
-64.25,0.709138
-62.75,0.708896
-61.25,0.708679
-59.75,0.70855
-58.25,0.708517
-56.75,0.708562
-55.25,0.70858
-53.75,0.708708
-52.25,0.708872
-50.75,0.708882
-49.25,0.708371
-47.75,0.710817
-46.25,0.710336
-44.75,0.709374
-43.25,0.712143
-41.75,0.712059
-40.25,0.711848
-38.75,0.712339
-37.25,0.712938
-35.75,0.713703
-34.25,0.71446
-32.75,0.715193
-31.25,0.715952
-29.75,0.716758
-28.25,0.717486
-26.75,0.718177
-25.25,0.719142
-23.75,0.720312
-22.25,0.721487
-20.75,0.722717
-19.25,0.724058
-17.75,0.725487
-16.25,0.726999
-14.75,0.728715
-13.25,0.730722
-11.75,0.73308
-10.25,0.73588
-8.75,0.739126
-7.25,0.742938
-5.75,0.747569
-4.25,0.753299
-2.75,0.760611
-1.25,0.77048
0.25,0.784294
1.75,0.804684
3.25,0.834668
4.75,0.883345
6.25,0.95043
7.75,1.17434
9.25,1.5654
10.75,3.40536
12.25,2.30292
13.75,1.89858
15.25,1.64237
16.75,1.49021
18.25,1.38391
19.75,1.30378
21.25,1.23817
22.75,1.18256
24.25,1.13429
25.75,1.09111
27.25,1.05112
28.75,1.01395
30.25,0.980083
31.75,0.949341
33.25,0.920191
34.75,0.892227
36.25,0.866484
37.75,0.843201
39.25,0.821696
40.75,0.801462
42.25,0.783076
43.75,0.767249
45.25,0.754079
46.75,0.743007
48.25,0.732942
49.75,0.725781
51.25,0.703882
52.75,0.709302
54.25,0.376717
