y_mm,mu
-94.25,0.811772
-92.75,0.892201
-91.25,0.87764
-89.75,0.8568
-88.25,0.831541
-86.75,0.809391
-85.25,0.791532
-83.75,0.777797
-82.25,0.766805
-80.75,0.75742
-79.25,0.750014
-77.75,0.745039
-76.25,0.741461
-74.75,0.738417
-73.25,0.737015
-71.75,0.733532
-70.25,0.732506
-68.75,0.735561
-67.25,0.735453
-65.75,0.73489
-64.25,0.736131
-62.75,0.738803
-61.25,0.741928
-59.75,0.74501
-58.25,0.748952
-56.75,0.754778
-55.25,0.761851
-53.75,0.7755
-52.25,0.79641
-50.75,0.818733
-49.25,0.851172
-47.75,0.898489
-46.25,0.976287
-44.75,1.08671
-43.25,1.4494
-41.75,1.89932
-40.25,4.01835
-38.75,6.83052
-37.25,3.23487
-35.75,2.59727
-34.25,2.19214
-32.75,1.96384
-31.25,1.80722
-29.75,1.69278
-28.25,1.60159
-26.75,1.52485
-25.25,1.45799
-23.75,1.39852
-22.25,1.34495
-20.75,1.29622
-19.25,1.25187
-17.75,1.21133
-16.25,1.17349
-14.75,1.1383
-13.25,1.10583
-11.75,1.07562
-10.25,1.04742
-8.75,1.02103
-7.25,0.996309
-5.75,0.973036
-4.25,0.951249
-2.75,0.930982
-1.25,0.911657
0.25,0.893149
1.75,0.875753
3.25,0.859346
4.75,0.843783
6.25,0.829004
7.75,0.814964
9.25,0.801579
10.75,0.788861
12.25,0.77694
13.75,0.765565
15.25,0.754472
16.75,0.743862
18.25,0.733835
19.75,0.724288
21.25,0.715238
22.75,0.706512
24.25,0.698095
25.75,0.688416
27.25,0.677794
28.75,0.674465
30.25,0.671421
31.75,0.661166
33.25,0.653802
34.75,0.648865
36.25,0.643457
37.75,0.639247
39.25,0.635826
40.75,0.633494
42.25,0.632542
43.75,0.633423
45.25,0.636127
46.75,0.640801
48.25,0.646632
49.75,0.655362
51.25,0.644626
52.75,0.667983
54.25,0.361613
