x,S12
-9.381105e+01,4.965812e+00
-9.231991e+01,4.426600e+00
-9.082876e+01,3.863527e+00
-8.933762e+01,3.287067e+00
-8.784647e+01,4.153983e+00
-8.635533e+01,2.949138e+00
-8.486418e+01,2.697528e+00
-8.337304e+01,2.526985e+00
-8.188189e+01,nan
-8.039075e+01,2.411839e+00
-7.889960e+01,2.335758e+00
-7.740846e+01,2.287888e+00
-7.591731e+01,nan
-7.442617e+01,2.260842e+00
-7.293502e+01,2.249529e+00
-7.144388e+01,2.250363e+00
-6.995273e+01,nan
-6.846159e+01,2.261067e+00
-6.697044e+01,2.279903e+00
-6.547930e+01,2.305934e+00
-6.398815e+01,nan
-6.249701e+01,2.329989e+00
-6.100586e+01,2.365316e+00
-5.951472e+01,2.415012e+00
-5.802357e+01,nan
-5.653243e+01,2.428727e+00
-5.504128e+01,2.491558e+00
-5.355014e+01,2.538733e+00
-5.205899e+01,2.488440e+00
-5.056785e+01,3.119217e+00
-4.907670e+01,2.642828e+00
-4.758556e+01,2.699740e+00
-4.609441e+01,2.760351e+00
-4.460327e+01,nan
-4.311212e+01,2.824661e+00
-4.162098e+01,2.892930e+00
-4.012983e+01,2.965172e+00
-3.863869e+01,nan
-3.714754e+01,3.042588e+00
-3.565640e+01,3.126034e+00
-3.416525e+01,3.216417e+00
-3.267411e+01,nan
-3.118296e+01,3.317133e+00
-2.969182e+01,3.432725e+00
-2.820067e+01,3.572417e+00
-2.670953e+01,nan
-2.521838e+01,3.754526e+00
-2.372724e+01,4.011648e+00
-2.223609e+01,4.395521e+00
-2.074495e+01,nan
-1.925380e+01,4.945729e+00
-1.776266e+01,6.895542e+00
-1.627151e+01,1.442525e+01
-1.478037e+01,nan
-1.328922e+01,1.869305e+01
-1.179808e+01,1.450796e+01
-1.030693e+01,1.222718e+01
-8.815789e+00,1.097675e+01
-7.324644e+00,nan
-5.833499e+00,1.014336e+01
-4.342354e+00,9.572598e+00
-2.851209e+00,9.163203e+00
-1.360064e+00,nan
1.310810e-01,8.862235e+00
1.622226e+00,8.635928e+00
3.113371e+00,8.463277e+00
4.604516e+00,nan
6.095661e+00,8.332233e+00
7.586806e+00,8.237980e+00
9.077951e+00,8.168198e+00
1.056910e+01,nan
1.206024e+01,8.121905e+00
1.355139e+01,8.096697e+00
1.504253e+01,8.090800e+00
1.653368e+01,nan
1.802482e+01,8.103504e+00
1.951597e+01,8.132005e+00
2.100711e+01,8.186099e+00
2.249826e+01,8.257652e+00
2.398940e+01,nan
2.548055e+01,8.349111e+00
2.697169e+01,8.465260e+00
2.846284e+01,8.608632e+00
2.995398e+01,nan
3.144513e+01,8.784890e+00
3.293627e+01,8.999541e+00
3.442742e+01,9.261952e+00
3.591856e+01,nan
3.740971e+01,9.581048e+00
3.890085e+01,9.922347e+00
4.039200e+01,1.037124e+01
4.188314e+01,nan
4.337429e+01,1.116615e+01
4.486543e+01,1.211068e+01
4.635658e+01,1.315130e+01
4.784772e+01,nan
4.933887e+01,1.499844e+01
5.083001e+01,1.726994e+01
5.232116e+01,2.289205e+01
5.381230e+01,1.863417e+01
