x,S12
-9.401164e+01,6.256104e+00
-9.251864e+01,5.592194e+00
-9.102564e+01,4.816238e+00
-8.953265e+01,4.059661e+00
-8.803965e+01,3.530176e+00
-8.654666e+01,nan
-8.505366e+01,3.145617e+00
-8.356066e+01,2.927180e+00
-8.206767e+01,2.823715e+00
-8.057467e+01,2.812864e+00
-7.908168e+01,nan
-7.758868e+01,2.909424e+00
-7.609569e+01,3.184788e+00
-7.460269e+01,3.768940e+00
-7.310969e+01,6.003261e+00
-7.161670e+01,1.266313e+01
-7.012370e+01,nan
-6.863071e+01,1.640751e+01
-6.713771e+01,1.249567e+01
-6.564471e+01,1.038870e+01
-6.415172e+01,nan
-6.265872e+01,9.216170e+00
-6.116573e+01,8.414056e+00
-5.967273e+01,7.845815e+00
-5.817974e+01,nan
-5.668674e+01,7.419504e+00
-5.519374e+01,7.087444e+00
-5.370075e+01,6.820544e+00
-5.220775e+01,nan
-5.071476e+01,6.599415e+00
-4.922176e+01,6.411839e+00
-4.772877e+01,6.250343e+00
-4.623577e+01,nan
-4.474277e+01,6.109555e+00
-4.324978e+01,5.985734e+00
-4.175678e+01,5.876172e+00
-4.026379e+01,nan
-3.877079e+01,5.778862e+00
-3.727779e+01,5.692285e+00
-3.578480e+01,5.615275e+00
-3.429180e+01,nan
-3.279881e+01,5.546924e+00
-3.130581e+01,5.486516e+00
-2.981282e+01,5.433483e+00
-2.831982e+01,nan
-2.682682e+01,5.387368e+00
-2.533383e+01,5.347800e+00
-2.384083e+01,5.314481e+00
-2.234784e+01,nan
-2.085484e+01,5.287139e+00
-1.936185e+01,5.265232e+00
-1.786885e+01,5.250062e+00
-1.637585e+01,nan
-1.488286e+01,5.240619e+00
-1.338986e+01,5.236182e+00
-1.189687e+01,5.237333e+00
-1.040387e+01,nan
-8.910875e+00,5.244042e+00
-7.417879e+00,5.256326e+00
-5.924883e+00,5.274271e+00
-4.431887e+00,nan
-2.938891e+00,5.298005e+00
-1.445896e+00,5.327714e+00
4.710012e-02,5.363702e+00
1.540096e+00,nan
3.033092e+00,5.406405e+00
4.526088e+00,5.456980e+00
6.019083e+00,5.515325e+00
7.512079e+00,nan
9.005075e+00,5.580761e+00
1.049807e+01,5.643747e+00
1.199107e+01,5.666560e+00
1.348406e+01,nan
1.497706e+01,5.834798e+00
1.647005e+01,5.929604e+00
1.796305e+01,6.014006e+00
1.945605e+01,nan
2.094904e+01,6.132895e+00
2.244204e+01,6.265922e+00
2.393503e+01,6.417926e+00
2.542803e+01,nan
2.692102e+01,6.588584e+00
2.841402e+01,6.781286e+00
2.990702e+01,7.000459e+00
3.140001e+01,nan
3.289301e+01,7.252110e+00
3.438600e+01,7.544299e+00
3.587900e+01,7.888481e+00
3.737200e+01,nan
3.886499e+01,8.300035e+00
4.035799e+01,8.805162e+00
4.185098e+01,9.431621e+00
4.334398e+01,nan
4.483697e+01,1.026944e+01
4.632997e+01,1.131558e+01
4.782297e+01,1.311084e+01
4.931596e+01,nan
5.080896e+01,1.499065e+01
5.230195e+01,1.987352e+01
5.379495e+01,1.865963e+01
