x,Mu
-9.396330e+01,8.957029e-01
-9.247077e+01,1.006711e+00
-9.097824e+01,1.010349e+00
-8.948571e+01,9.503917e-01
-8.799318e+01,nan
-8.650065e+01,8.928157e-01
-8.500812e+01,8.507040e-01
-8.351559e+01,8.210186e-01
-8.202306e+01,nan
-8.053054e+01,7.982844e-01
-7.903801e+01,7.803117e-01
-7.754548e+01,7.679233e-01
-7.605295e+01,7.603876e-01
-7.456042e+01,nan
-7.306789e+01,7.539877e-01
-7.157536e+01,7.472915e-01
-7.008283e+01,7.456827e-01
-6.859030e+01,nan
-6.709777e+01,7.483141e-01
-6.560524e+01,7.351459e-01
-6.411271e+01,7.477886e-01
-6.262018e+01,nan
-6.112765e+01,7.464526e-01
-5.963512e+01,7.453063e-01
-5.814260e+01,7.461169e-01
-5.665007e+01,7.491838e-01
-5.515754e+01,nan
-5.366501e+01,7.542174e-01
-5.217248e+01,7.589777e-01
-5.067995e+01,7.643997e-01
-4.918742e+01,nan
-4.769489e+01,7.731334e-01
-4.620236e+01,7.847166e-01
-4.470983e+01,7.989755e-01
-4.321730e+01,8.203622e-01
-4.172477e+01,nan
-4.023224e+01,8.537871e-01
-3.873971e+01,8.995516e-01
-3.724718e+01,9.775447e-01
-3.575466e+01,nan
-3.426213e+01,1.095034e+00
-3.276960e+01,1.659515e+00
-3.127707e+01,1.835753e+00
-2.978454e+01,nan
-2.829201e+01,-9.754049e+00
-2.679948e+01,3.060580e+00
-2.530695e+01,2.536846e+00
-2.381442e+01,nan
-2.232189e+01,2.077474e+00
-2.082936e+01,1.834773e+00
-1.933683e+01,1.663861e+00
-1.784430e+01,nan
-1.635177e+01,1.540564e+00
-1.485924e+01,1.443866e+00
-1.336672e+01,1.365214e+00
-1.187419e+01,nan
-1.038166e+01,1.298676e+00
-8.889127e+00,1.241100e+00
-7.396598e+00,1.190428e+00
-5.904069e+00,1.373779e+00
-4.411539e+00,1.125417e+00
-2.919010e+00,1.104698e+00
-1.426481e+00,1.067936e+00
6.604856e-02,1.242422e+00
1.558578e+00,9.948774e-01
3.051107e+00,1.003793e+00
4.543637e+00,9.759887e-01
6.036166e+00,1.164679e+00
7.528695e+00,9.096288e-01
9.021225e+00,9.264327e-01
1.051375e+01,9.045138e-01
1.200628e+01,1.016725e+00
1.349881e+01,8.424947e-01
1.499134e+01,8.656585e-01
1.648387e+01,8.484514e-01
1.797640e+01,9.165652e-01
1.946893e+01,7.853509e-01
2.096146e+01,8.180020e-01
2.245399e+01,8.046033e-01
2.394652e+01,8.050033e-01
2.543905e+01,7.269600e-01
2.693158e+01,7.809304e-01
2.842411e+01,7.709043e-01
2.991664e+01,7.572572e-01
3.140916e+01,nan
3.290169e+01,7.453122e-01
3.439422e+01,7.442846e-01
3.588675e+01,7.433242e-01
3.737928e+01,nan
3.887181e+01,7.332099e-01
4.036434e+01,7.250940e-01
4.185687e+01,7.190375e-01
4.334940e+01,nan
4.484193e+01,7.203405e-01
4.633446e+01,7.016892e-01
4.782699e+01,7.431530e-01
4.931952e+01,nan
5.081205e+01,6.081024e-01
5.230458e+01,8.955648e-01
5.379710e+01,2.744472e-01
