x,S12
-9.396914e+01,8.039544e+00
-9.247656e+01,7.574269e+00
-9.098398e+01,6.585657e+00
-8.949140e+01,5.610996e+00
-8.799881e+01,nan
-8.650623e+01,4.918207e+00
-8.501365e+01,4.447496e+00
-8.352107e+01,4.137435e+00
-8.202849e+01,nan
-8.053590e+01,3.924731e+00
-7.904332e+01,3.789228e+00
-7.755074e+01,3.718003e+00
-7.605816e+01,3.677412e+00
-7.456558e+01,nan
-7.307300e+01,3.662479e+00
-7.158041e+01,3.725938e+00
-7.008783e+01,3.705191e+00
-6.859525e+01,nan
-6.710267e+01,3.778461e+00
-6.561009e+01,3.873350e+00
-6.411751e+01,3.955984e+00
-6.262492e+01,4.047381e+00
-6.113234e+01,nan
-5.963976e+01,4.160994e+00
-5.814718e+01,4.287626e+00
-5.665460e+01,4.429978e+00
-5.516202e+01,nan
-5.366943e+01,4.608776e+00
-5.217685e+01,4.829146e+00
-5.068427e+01,5.120072e+00
-4.919169e+01,5.558142e+00
-4.769911e+01,nan
-4.620653e+01,6.256056e+00
-4.471394e+01,7.392864e+00
-4.322136e+01,1.109610e+01
-4.172878e+01,nan
-4.023620e+01,2.351930e+01
-3.874362e+01,3.037450e+01
-3.725104e+01,2.311897e+01
-3.575845e+01,1.920213e+01
-3.426587e+01,nan
-3.277329e+01,1.703079e+01
-3.128071e+01,1.556459e+01
-2.978813e+01,1.454198e+01
-2.829555e+01,nan
-2.680296e+01,1.379230e+01
-2.531038e+01,1.322275e+01
-2.381780e+01,1.277538e+01
-2.232522e+01,nan
-2.083264e+01,1.241641e+01
-1.934005e+01,1.212334e+01
-1.784747e+01,1.188146e+01
-1.635489e+01,nan
-1.486231e+01,1.168067e+01
-1.336973e+01,1.151386e+01
-1.187715e+01,1.137589e+01
-1.038456e+01,nan
-8.891983e+00,1.126296e+01
-7.399401e+00,1.117223e+01
-5.906819e+00,1.110155e+01
-4.414238e+00,nan
-2.921656e+00,1.104920e+01
-1.429074e+00,1.101261e+01
6.350742e-02,1.099777e+01
1.556089e+00,nan
3.048671e+00,1.099616e+01
4.541253e+00,1.101021e+01
6.033834e+00,1.104020e+01
7.526416e+00,nan
9.018998e+00,1.108622e+01
1.051158e+01,1.114881e+01
1.200416e+01,1.122875e+01
1.349674e+01,nan
1.498932e+01,1.132730e+01
1.648191e+01,1.144622e+01
1.797449e+01,1.158921e+01
1.946707e+01,nan
2.095965e+01,1.175783e+01
2.245223e+01,1.195213e+01
2.394481e+01,1.215637e+01
2.543740e+01,nan
2.692998e+01,1.227868e+01
2.842256e+01,1.270909e+01
2.991514e+01,1.310696e+01
3.140772e+01,nan
3.290031e+01,1.345264e+01
3.439289e+01,1.389764e+01
3.588547e+01,1.445176e+01
3.737805e+01,nan
3.887063e+01,1.513420e+01
4.036321e+01,1.598330e+01
4.185580e+01,1.704782e+01
4.334838e+01,nan
4.484096e+01,1.848594e+01
4.633354e+01,2.029459e+01
4.782612e+01,2.342232e+01
4.931870e+01,nan
5.081129e+01,2.671032e+01
5.230387e+01,3.525512e+01
5.379645e+01,3.277560e+01
