x,S11
-9.395895e+01,-3.432129e+00
-9.246646e+01,-2.403014e+00
-9.097397e+01,-1.872406e+00
-8.948147e+01,-1.574652e+00
-8.798898e+01,nan
-8.649649e+01,-1.359592e+00
-8.500399e+01,-1.219539e+00
-8.351150e+01,-1.120585e+00
-8.201900e+01,nan
-8.052651e+01,-1.055914e+00
-7.903402e+01,-1.017742e+00
-7.754152e+01,-1.000467e+00
-7.604903e+01,nan
-7.455654e+01,-9.961506e-01
-7.306404e+01,-1.003347e+00
-7.157155e+01,-1.020903e+00
-7.007906e+01,-1.043565e+00
-6.858656e+01,nan
-6.709407e+01,-1.070464e+00
-6.560157e+01,-1.104370e+00
-6.410908e+01,-1.166291e+00
-6.261659e+01,nan
-6.112409e+01,-1.214736e+00
-5.963160e+01,-1.199248e+00
-5.813911e+01,-1.304594e+00
-5.664661e+01,nan
-5.515412e+01,-1.316570e+00
-5.366163e+01,-1.356040e+00
-5.216913e+01,-1.406719e+00
-5.067664e+01,-1.457161e+00
-4.918414e+01,nan
-4.769165e+01,-1.504824e+00
-4.619916e+01,-1.549594e+00
-4.470666e+01,-1.594708e+00
-4.321417e+01,nan
-4.172168e+01,-1.640536e+00
-4.022918e+01,-1.684510e+00
-3.873669e+01,-1.725810e+00
-3.724420e+01,nan
-3.575170e+01,-1.768740e+00
-3.425921e+01,-1.811818e+00
-3.276671e+01,-1.852359e+00
-3.127422e+01,-1.893254e+00
-2.978173e+01,nan
-2.828923e+01,-1.942305e+00
-2.679674e+01,-1.994903e+00
-2.530425e+01,-2.092346e+00
-2.381175e+01,nan
-2.231926e+01,-2.124214e+00
-2.082677e+01,-2.891896e+00
-1.933427e+01,-1.330767e+00
-1.784178e+01,nan
-1.634928e+01,-2.091089e+00
-1.485679e+01,-2.204499e+00
-1.336430e+01,-2.275670e+00
-1.187180e+01,nan
-1.037931e+01,-2.322073e+00
-8.886817e+00,-2.358716e+00
-7.394323e+00,-2.390850e+00
-5.901829e+00,nan
-4.409336e+00,-2.423718e+00
-2.916842e+00,-2.458026e+00
-1.424348e+00,-2.494051e+00
6.814528e-02,nan
1.560639e+00,-2.531769e+00
3.053133e+00,-2.570421e+00
4.545626e+00,-2.610226e+00
6.038120e+00,nan
7.530613e+00,-2.651603e+00
9.023107e+00,-2.694008e+00
1.051560e+01,-2.737811e+00
1.200809e+01,nan
1.350059e+01,-2.783553e+00
1.499308e+01,-2.831447e+00
1.648558e+01,-2.881823e+00
1.797807e+01,-3.918722e+00
1.947056e+01,-2.849590e+00
2.096306e+01,-2.991874e+00
2.245555e+01,-3.052783e+00
2.394804e+01,-3.530003e+00
2.544054e+01,-3.040266e+00
2.693303e+01,-3.190823e+00
2.842552e+01,-3.270171e+00
2.991802e+01,-3.698230e+00
3.141051e+01,-3.275086e+00
3.290301e+01,-3.460978e+00
3.439550e+01,-3.583839e+00
3.588799e+01,-3.809985e+00
3.738049e+01,-3.651128e+00
3.887298e+01,-3.854124e+00
4.036547e+01,-4.050652e+00
4.185797e+01,-4.309923e+00
4.335046e+01,nan
4.484295e+01,-4.613842e+00
4.633545e+01,-5.111693e+00
4.782794e+01,-5.649797e+00
4.932044e+01,nan
5.081293e+01,-7.089847e+00
5.230542e+01,-9.504623e+00
5.379792e+01,-1.899054e+01
