y_mm,mu
-94.25,0.786046
-92.75,0.869716
-91.25,0.854928
-89.75,0.835311
-88.25,0.812066
-86.75,0.791973
-85.25,0.775235
-83.75,0.761728
-82.25,0.750836
-80.75,0.742224
-79.25,0.73553
-77.75,0.730312
-76.25,0.726169
-74.75,0.722829
-73.25,0.720155
-71.75,0.717783
-70.25,0.715948
-68.75,0.714864
-67.25,0.714077
-65.75,0.713451
-64.25,0.713012
-62.75,0.71259
-61.25,0.712278
-59.75,0.712027
-58.25,0.711771
-56.75,0.713559
-55.25,0.71294
-53.75,0.71276
-52.25,0.715089
-50.75,0.714869
-49.25,0.714852
-47.75,0.715653
-46.25,0.716751
-44.75,0.7179
-43.25,0.71904
-41.75,0.720239
-40.25,0.721316
-38.75,0.722541
-37.25,0.724348
-35.75,0.726384
-34.25,0.7285
-32.75,0.73086
-31.25,0.7349
-29.75,0.739988
-28.25,0.744527
-26.75,0.750111
-25.25,0.757002
-23.75,0.765788
-22.25,0.777455
-20.75,0.793623
-19.25,0.817653
-17.75,0.853351
-16.25,0.911664
-14.75,0.992914
-13.25,1.26179
-11.75,1.68054
-10.25,3.26688
-8.75,4.73336
-7.25,2.60486
-5.75,2.1295
-4.25,1.82849
-2.75,1.65284
-1.25,1.53139
0.25,1.4417
1.75,1.3696
3.25,1.30881
4.75,1.25603
6.25,1.20887
7.75,1.16575
9.25,1.12638
10.75,1.09035
12.25,1.05704
13.75,1.02606
15.25,0.997403
16.75,0.970781
18.25,0.945389
19.75,0.921282
21.25,0.898717
22.75,0.877433
24.25,0.857161
25.75,0.838025
27.25,0.820205
28.75,0.803011
30.25,0.786279
31.75,0.770571
33.25,0.75584
34.75,0.741944
36.25,0.729095
37.75,0.717654
39.25,0.707226
40.75,0.697099
42.25,0.685706
43.75,0.675665
45.25,0.678618
46.75,0.684396
48.25,0.679824
49.75,0.678911
51.25,0.659878
52.75,0.676862
54.25,0.364821
