y_mm,mu
-94.25,0.801052
-92.75,0.881383
-91.25,0.866001
-89.75,0.845278
-88.25,0.820879
-86.75,0.799668
-85.25,0.781825
-83.75,0.767539
-82.25,0.756485
-80.75,0.747916
-79.25,0.741133
-77.75,0.735645
-76.25,0.730936
-74.75,0.727273
-73.25,0.724904
-71.75,0.723119
-70.25,0.721666
-68.75,0.720376
-67.25,0.719278
-65.75,0.719014
-64.25,0.719355
-62.75,0.718587
-61.25,0.719524
-59.75,0.721116
-58.25,0.720673
-56.75,0.721038
-55.25,0.722417
-53.75,0.724131
-52.25,0.725946
-50.75,0.727638
-49.25,0.729415
-47.75,0.731961
-46.25,0.735222
-44.75,0.738839
-43.25,0.742848
-41.75,0.750426
-40.25,0.761179
-38.75,0.771416
-37.25,0.785001
-35.75,0.803658
-34.25,0.83096
-32.75,0.871631
-31.25,0.938675
-29.75,1.03281
-28.25,1.3424
-26.75,1.77984
-25.25,3.60071
-23.75,5.59057
-22.25,2.88389
-20.75,2.33788
-19.25,1.99205
-17.75,1.79322
-16.25,1.6564
-14.75,1.55627
-13.25,1.47615
-11.75,1.40869
-10.25,1.34985
-8.75,1.29749
-7.25,1.25052
-5.75,1.20786
-4.25,1.16832
-2.75,1.1318
-1.25,1.09821
0.25,1.06704
1.75,1.03799
3.25,1.01082
4.75,0.985427
6.25,0.961832
7.75,0.939604
9.25,0.918345
10.75,0.898236
12.25,0.879333
13.75,0.861426
15.25,0.844424
16.75,0.828206
18.25,0.812815
19.75,0.798413
21.25,0.78457
22.75,0.771039
24.25,0.758166
25.75,0.745985
27.25,0.734371
28.75,0.723394
30.25,0.712889
31.75,0.702894
33.25,0.692221
34.75,0.679838
36.25,0.674057
37.75,0.671719
39.25,0.663914
40.75,0.65704
42.25,0.653022
43.75,0.650585
45.25,0.650688
46.75,0.653183
48.25,0.656626
49.75,0.662784
51.25,0.648873
52.75,0.669748
54.25,0.361597
