x,S11
-9.397741e+01,-2.683536e+01
-9.248475e+01,-1.962663e+01
-9.099209e+01,-1.493565e+01
-8.949943e+01,-1.252519e+01
-8.800677e+01,nan
-8.651411e+01,-1.065617e+01
-8.502145e+01,-9.370080e+00
-8.352879e+01,-8.467673e+00
-8.203613e+01,-7.839144e+00
-8.054347e+01,nan
-7.905081e+01,-7.905790e+00
-7.755815e+01,-7.793356e+00
-7.606549e+01,-6.623355e+00
-7.457283e+01,nan
-7.308017e+01,-7.995235e+00
-7.158752e+01,-7.390011e+00
-7.009486e+01,-7.508784e+00
-6.860220e+01,-7.820434e+00
-6.710954e+01,nan
-6.561688e+01,-8.120564e+00
-6.412422e+01,-8.427940e+00
-6.263156e+01,-8.737127e+00
-6.113890e+01,-9.051178e+00
-5.964624e+01,nan
-5.815358e+01,-9.403233e+00
-5.666092e+01,-9.763151e+00
-5.516826e+01,-1.038751e+01
-5.367560e+01,nan
-5.218294e+01,-1.077804e+01
-5.069028e+01,-1.469190e+01
-4.919762e+01,-7.777982e+00
-4.770496e+01,-1.113703e+01
-4.621230e+01,nan
-4.471964e+01,-1.179900e+01
-4.322698e+01,-1.225591e+01
-4.173432e+01,-1.264290e+01
-4.024166e+01,nan
-3.874900e+01,-1.299966e+01
-3.725634e+01,-1.332909e+01
-3.576368e+01,-1.365088e+01
-3.427102e+01,nan
-3.277836e+01,-1.396948e+01
-3.128570e+01,-1.428726e+01
-2.979305e+01,-1.460414e+01
-2.830039e+01,nan
-2.680773e+01,-1.491991e+01
-2.531507e+01,-1.523438e+01
-2.382241e+01,-1.554762e+01
-2.232975e+01,nan
-2.083709e+01,-1.585991e+01
-1.934443e+01,-1.617207e+01
-1.785177e+01,-1.648201e+01
-1.635911e+01,nan
-1.486645e+01,-1.679139e+01
-1.337379e+01,-1.710297e+01
-1.188113e+01,-1.741604e+01
-1.038847e+01,nan
-8.895810e+00,-1.772970e+01
-7.403150e+00,-1.804607e+01
-5.910491e+00,-1.836689e+01
-4.417831e+00,nan
-2.925171e+00,-1.869289e+01
-1.432512e+00,-1.902515e+01
6.014784e-02,-1.936494e+01
1.552807e+00,nan
3.045467e+00,-1.971365e+01
4.538127e+00,-2.007215e+01
6.030786e+00,-2.043984e+01
7.523446e+00,nan
9.016106e+00,-2.082232e+01
1.050877e+01,-2.122110e+01
1.200142e+01,-2.163887e+01
1.349408e+01,nan
1.498674e+01,-2.207904e+01
1.647940e+01,-2.256683e+01
1.797206e+01,-2.307025e+01
1.946472e+01,nan
2.095738e+01,-2.373465e+01
2.245004e+01,-2.395100e+01
2.394270e+01,-2.466790e+01
2.543536e+01,nan
2.692802e+01,-2.552620e+01
2.842068e+01,-2.618503e+01
2.991334e+01,-2.699287e+01
3.140600e+01,nan
3.289866e+01,-2.793364e+01
3.439132e+01,-2.900722e+01
3.588398e+01,-3.025721e+01
3.737664e+01,nan
3.886930e+01,-3.175769e+01
4.036196e+01,-3.356004e+01
4.185462e+01,-3.593002e+01
4.334728e+01,nan
4.483994e+01,-3.878365e+01
4.633260e+01,-4.348506e+01
4.782526e+01,-4.858410e+01
4.931792e+01,nan
5.081058e+01,-6.203087e+01
5.230324e+01,-8.432326e+01
5.379590e+01,-1.709207e+02
