x,S12
-9.394894e+01,4.280518e+01
-9.245653e+01,3.802123e+01
-9.096413e+01,3.392649e+01
-8.947172e+01,2.971295e+01
-8.797931e+01,3.881904e+01
-8.648691e+01,2.720010e+01
-8.499450e+01,2.503374e+01
-8.350209e+01,2.338687e+01
-8.200969e+01,nan
-8.051728e+01,2.210033e+01
-7.902487e+01,2.107196e+01
-7.753247e+01,2.023213e+01
-7.604006e+01,nan
-7.454765e+01,1.952951e+01
-7.305524e+01,1.893405e+01
-7.156284e+01,1.842186e+01
-7.007043e+01,nan
-6.857802e+01,1.796843e+01
-6.708562e+01,1.756278e+01
-6.559321e+01,1.719595e+01
-6.410080e+01,nan
-6.260840e+01,1.685841e+01
-6.111599e+01,1.655810e+01
-5.962358e+01,1.627833e+01
-5.813118e+01,1.577960e+01
-5.663877e+01,2.172826e+01
-5.514636e+01,1.577521e+01
-5.365395e+01,1.554653e+01
-5.216155e+01,1.534239e+01
-5.066914e+01,nan
-4.917673e+01,1.515437e+01
-4.768433e+01,1.498271e+01
-4.619192e+01,1.482348e+01
-4.469951e+01,nan
-4.320711e+01,1.466212e+01
-4.171470e+01,1.439970e+01
-4.022229e+01,1.443808e+01
-3.872989e+01,nan
-3.723748e+01,1.421749e+01
-3.574507e+01,1.413567e+01
-3.425266e+01,1.409866e+01
-3.276026e+01,nan
-3.126785e+01,1.402279e+01
-2.977544e+01,1.395540e+01
-2.828304e+01,1.390209e+01
-2.679063e+01,1.360027e+01
-2.529822e+01,1.685001e+01
-2.380582e+01,1.383235e+01
-2.231341e+01,1.381850e+01
-2.082100e+01,1.381467e+01
-1.932860e+01,nan
-1.783619e+01,1.383381e+01
-1.634378e+01,1.386943e+01
-1.485137e+01,1.391131e+01
-1.335897e+01,nan
-1.186656e+01,1.397169e+01
-1.037415e+01,1.404468e+01
-8.881747e+00,1.413609e+01
-7.389340e+00,nan
-5.896933e+00,1.425508e+01
-4.404526e+00,1.438924e+01
-2.912119e+00,1.454264e+01
-1.419712e+00,nan
7.269485e-02,1.472237e+01
1.565102e+00,1.492947e+01
3.057509e+00,1.517324e+01
4.549916e+00,nan
6.042323e+00,1.547978e+01
7.534729e+00,1.583009e+01
9.027136e+00,1.626947e+01
1.051954e+01,1.682581e+01
1.201195e+01,nan
1.350436e+01,1.755718e+01
1.499676e+01,1.854710e+01
1.648917e+01,2.015278e+01
1.798158e+01,nan
1.947398e+01,2.288280e+01
2.096639e+01,1.851872e+01
2.245880e+01,1.415542e+01
2.395121e+01,nan
2.544361e+01,1.343952e+01
2.693602e+01,1.424096e+01
2.842843e+01,1.512804e+01
2.992083e+01,nan
3.141324e+01,1.605657e+01
3.290565e+01,1.700873e+01
3.439805e+01,1.800826e+01
3.589046e+01,nan
3.738287e+01,1.909907e+01
3.887527e+01,2.033024e+01
4.036768e+01,2.177143e+01
4.186009e+01,nan
4.335250e+01,2.350984e+01
4.484490e+01,2.570974e+01
4.633731e+01,2.867582e+01
4.782972e+01,3.836868e+01
4.932212e+01,3.173380e+01
5.081453e+01,3.987690e+01
5.230694e+01,5.298619e+01
5.379934e+01,4.897228e+01
