x,Mu
-9.381683e+01,2.705174e+00
-9.232567e+01,2.120754e+00
-9.083451e+01,2.522209e+00
-8.934335e+01,2.650102e+00
-8.785220e+01,nan
-8.636104e+01,2.801540e+00
-8.486988e+01,2.884730e+00
-8.337872e+01,2.932577e+00
-8.188756e+01,nan
-8.039641e+01,2.933581e+00
-7.890525e+01,2.899900e+00
-7.741409e+01,2.839167e+00
-7.592293e+01,nan
-7.443177e+01,2.756445e+00
-7.294062e+01,2.605886e+00
-7.144946e+01,2.306227e+00
-6.995830e+01,nan
-6.846714e+01,2.066519e+00
-6.697598e+01,2.261827e+00
-6.548482e+01,2.163664e+00
-6.399367e+01,2.232039e+00
-6.250251e+01,nan
-6.101135e+01,2.063606e+00
-5.952019e+01,1.951764e+00
-5.802903e+01,1.849520e+00
-5.653788e+01,nan
-5.504672e+01,1.761260e+00
-5.355556e+01,1.684353e+00
-5.206440e+01,1.616101e+00
-5.057324e+01,nan
-4.908209e+01,1.556424e+00
-4.759093e+01,1.505555e+00
-4.609977e+01,1.464576e+00
-4.460861e+01,nan
-4.311745e+01,1.434224e+00
-4.162629e+01,1.420703e+00
-4.013514e+01,1.410657e+00
-3.864398e+01,1.481732e+00
-3.715282e+01,nan
-3.566166e+01,1.398028e+00
-3.417050e+01,1.634977e+00
-3.267935e+01,8.371578e-01
-3.118819e+01,nan
-2.969703e+01,6.867773e-01
-2.820587e+01,6.724365e-01
-2.671471e+01,6.732242e-01
-2.522355e+01,nan
-2.373240e+01,6.792420e-01
-2.224124e+01,6.847103e-01
-2.075008e+01,6.883919e-01
-1.925892e+01,nan
-1.776776e+01,6.903551e-01
-1.627661e+01,6.908823e-01
-1.478545e+01,6.904188e-01
-1.329429e+01,nan
-1.180313e+01,6.893443e-01
-1.031197e+01,6.876233e-01
-8.820815e+00,6.855351e-01
-7.329657e+00,nan
-5.838499e+00,6.832618e-01
-4.347341e+00,6.807679e-01
-2.856183e+00,6.781366e-01
-1.365025e+00,nan
1.261336e-01,6.754352e-01
1.617292e+00,6.727279e-01
3.108450e+00,6.701325e-01
4.599608e+00,6.677539e-01
6.090766e+00,nan
7.581924e+00,6.655692e-01
9.073082e+00,6.636296e-01
1.056424e+01,6.620738e-01
1.205540e+01,nan
1.354656e+01,6.607550e-01
1.503771e+01,6.597408e-01
1.652887e+01,6.591237e-01
1.802003e+01,nan
1.951119e+01,6.587842e-01
2.100235e+01,6.588563e-01
2.249351e+01,6.588130e-01
2.398466e+01,nan
2.547582e+01,6.594865e-01
2.696698e+01,6.572259e-01
2.845814e+01,6.585504e-01
2.994930e+01,nan
3.144045e+01,6.648161e-01
3.293161e+01,6.628754e-01
3.442277e+01,6.629052e-01
3.591393e+01,nan
3.740509e+01,6.660488e-01
3.889625e+01,6.674309e-01
4.038740e+01,6.698115e-01
4.187856e+01,nan
4.336972e+01,6.719290e-01
4.486088e+01,6.745765e-01
4.635204e+01,6.756117e-01
4.784319e+01,6.804103e-01
4.933435e+01,6.721767e-01
5.082551e+01,6.773057e-01
5.231667e+01,6.069876e-01
5.380783e+01,3.035259e-01
