x,S11
-9.395559e+01,-2.464033e+01
-9.246312e+01,-1.823082e+01
-9.097065e+01,-1.403483e+01
-8.947818e+01,-1.187161e+01
-8.798571e+01,nan
-8.649324e+01,-1.019089e+01
-8.500077e+01,-9.103412e+00
-8.350830e+01,-8.344263e+00
-8.201583e+01,nan
-8.052336e+01,-7.839656e+00
-7.903089e+01,-7.529240e+00
-7.753842e+01,-7.376318e+00
-7.604595e+01,nan
-7.455348e+01,-7.346226e+00
-7.306101e+01,-7.395933e+00
-7.156854e+01,-7.511570e+00
-7.007607e+01,-7.555717e+00
-6.858360e+01,-1.078003e+01
-6.709113e+01,-7.906947e+00
-6.559866e+01,-8.139672e+00
-6.410619e+01,-8.392770e+00
-6.261372e+01,nan
-6.112125e+01,-8.683127e+00
-5.962878e+01,-9.183753e+00
-5.813631e+01,-9.566799e+00
-5.664384e+01,nan
-5.515137e+01,-9.447876e+00
-5.365890e+01,-1.028393e+01
-5.216643e+01,-1.035013e+01
-5.067396e+01,nan
-4.918149e+01,-1.065794e+01
-4.768902e+01,-1.103783e+01
-4.619655e+01,-1.140268e+01
-4.470407e+01,-1.176779e+01
-4.321160e+01,nan
-4.171913e+01,-1.211676e+01
-4.022666e+01,-1.245122e+01
-3.873419e+01,-1.278176e+01
-3.724172e+01,nan
-3.574925e+01,-1.312607e+01
-3.425678e+01,-1.346738e+01
-3.276431e+01,-1.379336e+01
-3.127184e+01,nan
-2.977937e+01,-1.411200e+01
-2.828690e+01,-1.444626e+01
-2.679443e+01,-1.478531e+01
-2.530196e+01,-1.510872e+01
-2.380949e+01,nan
-2.231702e+01,-1.542528e+01
-2.082455e+01,-1.576868e+01
-1.933208e+01,-1.615207e+01
-1.783961e+01,nan
-1.634714e+01,-1.654306e+01
-1.485467e+01,-1.708542e+01
-1.336220e+01,-1.742778e+01
-1.186973e+01,nan
-1.037726e+01,-2.003744e+01
-8.884789e+00,-1.496078e+01
-7.392319e+00,-1.755898e+01
-5.899848e+00,nan
-4.407378e+00,-1.839682e+01
-2.914908e+00,-1.877102e+01
-1.422438e+00,-1.913590e+01
7.003258e-02,nan
1.562503e+00,-1.947885e+01
3.054973e+00,-1.983248e+01
4.547443e+00,-2.020427e+01
6.039914e+00,nan
7.532384e+00,-2.059582e+01
9.024854e+00,-2.100597e+01
1.051732e+01,-2.143077e+01
1.200979e+01,nan
1.350226e+01,-2.187780e+01
1.499474e+01,-2.234387e+01
1.648721e+01,-2.283212e+01
1.797968e+01,nan
1.947215e+01,-2.335078e+01
2.096462e+01,-2.390396e+01
2.245709e+01,-2.449743e+01
2.394956e+01,nan
2.544203e+01,-2.513865e+01
2.693450e+01,-2.583743e+01
2.842697e+01,-2.660661e+01
2.991944e+01,-3.542820e+01
3.141191e+01,-2.677405e+01
3.290438e+01,-2.842834e+01
3.439685e+01,-2.952901e+01
3.588932e+01,-3.439878e+01
3.738179e+01,-3.012672e+01
3.887426e+01,-3.236449e+01
4.036673e+01,-3.415211e+01
4.185920e+01,-3.773944e+01
4.335167e+01,-3.661042e+01
4.484414e+01,-3.935271e+01
4.633661e+01,-4.386571e+01
4.782908e+01,-4.936305e+01
4.932155e+01,nan
5.081402e+01,-6.306311e+01
5.230649e+01,-8.522975e+01
5.379896e+01,-1.725287e+02
