y_mm,mu
-94.25,0.78473
-92.75,0.865502
-91.25,0.846813
-89.75,0.828077
-88.25,0.805242
-86.75,0.786282
-85.25,0.770329
-83.75,0.75756
-82.25,0.747347
-80.75,0.739148
-79.25,0.732562
-77.75,0.727352
-76.25,0.723241
-74.75,0.72004
-73.25,0.717516
-71.75,0.715464
-70.25,0.71384
-68.75,0.712559
-67.25,0.711368
-65.75,0.710442
-64.25,0.709993
-62.75,0.709725
-61.25,0.709513
-59.75,0.709405
-58.25,0.709403
-56.75,0.709351
-55.25,0.709452
-53.75,0.709502
-52.25,0.70958
-50.75,0.708496
-49.25,0.712893
-47.75,0.709434
-46.25,0.710889
-44.75,0.713037
-43.25,0.712503
-41.75,0.712553
-40.25,0.713054
-38.75,0.713819
-37.25,0.71468
-35.75,0.71549
-34.25,0.716302
-32.75,0.7172
-31.25,0.718004
-29.75,0.718657
-28.25,0.71969
-26.75,0.721046
-25.25,0.72234
-23.75,0.72373
-22.25,0.725267
-20.75,0.726864
-19.25,0.729563
-17.75,0.732853
-16.25,0.735768
-14.75,0.739119
-13.25,0.743016
-11.75,0.747716
-10.25,0.753533
-8.75,0.760853
-7.25,0.770493
-5.75,0.78441
-4.25,0.804374
-2.75,0.83592
-1.25,0.880169
0.25,0.958963
1.75,1.0842
3.25,1.97291
4.75,3.85277
6.25,2.79089
7.75,2.41178
9.25,1.90587
10.75,1.67794
12.25,1.52051
13.75,1.41441
15.25,1.33258
16.75,1.26828
18.25,1.21181
19.75,1.16182
21.25,1.11737
22.75,1.07725
24.25,1.03938
25.75,1.00718
27.25,0.974751
28.75,0.944439
30.25,0.916786
31.75,0.890534
33.25,0.865989
34.75,0.843819
36.25,0.822244
37.75,0.801506
39.25,0.783172
40.75,0.766024
42.25,0.751056
43.75,0.738707
45.25,0.727328
46.75,0.718639
48.25,0.71216
49.75,0.703357
51.25,0.707713
52.75,0.562262
54.25,0.745561
