y_mm,mu
-94.25,0.822287
-92.75,0.905965
-91.25,0.893839
-89.75,0.874064
-88.25,0.851125
-86.75,0.832354
-85.25,0.820378
-83.75,0.807862
-82.25,0.785333
-80.75,0.80359
-79.25,0.789207
-77.75,0.791834
-76.25,0.79364
-74.75,0.798961
-73.25,0.809007
-71.75,0.824354
-70.25,0.847581
-68.75,0.882828
-67.25,0.939908
-65.75,1.02329
-64.25,1.16572
-62.75,1.41456
-61.25,2.81684
-59.75,7.62673
-58.25,4.35343
-56.75,4.04138
-55.25,2.97747
-53.75,2.56917
-52.25,2.28453
-50.75,2.09865
-49.25,1.95937
-47.75,1.84763
-46.25,1.75272
-44.75,1.66966
-43.25,1.59558
-41.75,1.52872
-40.25,1.46793
-38.75,1.4122
-37.25,1.36242
-35.75,1.31453
-34.25,1.27096
-32.75,1.23068
-31.25,1.17582
-29.75,1.12588
-28.25,1.09545
-26.75,1.0671
-25.25,1.03997
-23.75,1.01609
-22.25,0.99221
-20.75,0.969729
-19.25,0.948956
-17.75,0.929263
-16.25,0.910694
-14.75,0.893143
-13.25,0.876514
-11.75,0.860869
-10.25,0.845717
-8.75,0.832138
-7.25,0.819058
-5.75,0.805931
-4.25,0.793966
-2.75,0.782556
-1.25,0.771735
0.25,0.761452
1.75,0.751668
3.25,0.742396
4.75,0.733464
6.25,0.725181
7.75,0.717728
9.25,0.709866
10.75,0.70262
12.25,0.695956
13.75,0.68933
15.25,0.682744
16.75,0.673729
18.25,0.66398
19.75,0.679519
21.25,0.65416
22.75,0.656479
24.25,0.650118
25.75,0.645676
27.25,0.641425
28.75,0.637392
30.25,0.633594
31.75,0.630068
33.25,0.626862
34.75,0.624052
36.25,0.621675
37.75,0.620212
39.25,0.61958
40.75,0.619295
42.25,0.620617
43.75,0.623346
45.25,0.627902
46.75,0.633751
48.25,0.642875
49.75,0.644324
51.25,0.672054
52.75,0.565431
54.25,0.789942
