y_mm,mu
-94.25,0.772725
-92.75,0.914993
-91.25,0.933997
-89.75,0.945622
-88.25,0.956445
-86.75,0.993218
-85.25,1.05971
-83.75,1.16805
-82.25,1.55544
-80.75,1.98263
-79.25,6.09777
-77.75,3.96499
-76.25,3.33053
-74.75,2.88269
-73.25,2.63399
-71.75,2.45981
-70.25,2.32764
-68.75,2.21616
-67.25,2.11708
-65.75,2.02581
-64.25,1.94066
-62.75,1.86083
-61.25,1.7859
-59.75,1.71556
-58.25,1.64955
-56.75,1.58766
-55.25,1.52958
-53.75,1.47534
-52.25,1.4247
-50.75,1.37678
-49.25,1.33168
-47.75,1.28956
-46.25,1.25002
-44.75,1.21287
-43.25,1.17793
-41.75,1.14505
-40.25,1.1141
-38.75,1.08495
-37.25,1.05748
-35.75,1.03153
-34.25,1.00714
-32.75,0.984358
-31.25,0.962611
-29.75,0.94186
-28.25,0.922389
-26.75,0.904029
-25.25,0.886653
-23.75,0.870219
-22.25,0.854666
-20.75,0.839949
-19.25,0.826013
-17.75,0.812828
-16.25,0.800309
-14.75,0.788501
-13.25,0.777532
-11.75,0.767046
-10.25,0.756878
-8.75,0.747341
-7.25,0.738393
-5.75,0.729908
-4.25,0.721892
-2.75,0.714318
-1.25,0.707174
0.25,0.700465
1.75,0.694084
3.25,0.687948
4.75,0.681142
6.25,0.674
7.75,0.67162
9.25,0.669573
10.75,0.662292
12.25,0.656755
13.75,0.653281
15.25,0.649247
16.75,0.645664
18.25,0.642187
19.75,0.638881
21.25,0.635732
22.75,0.632736
24.25,0.629881
25.75,0.627361
27.25,0.625027
28.75,0.622613
30.25,0.620419
31.75,0.618558
33.25,0.616961
34.75,0.615718
36.25,0.61492
37.75,0.614698
39.25,0.615218
40.75,0.616691
42.25,0.619376
43.75,0.623546
45.25,0.629639
46.75,0.637906
48.25,0.646654
49.75,0.659092
51.25,0.649503
52.75,0.69651
54.25,0.372823
