y_mm,mu
-94.25,0.707669
-92.75,0.977203
-91.25,1.31393
-89.75,2.22599
-88.25,3.28156
-86.75,2.65447
-85.25,2.5449
-83.75,2.44529
-82.25,2.40081
-80.75,2.37366
-79.25,2.35113
-77.75,2.32327
-76.25,2.28706
-74.75,2.24148
-73.25,2.18797
-71.75,2.12849
-70.25,2.06504
-68.75,1.99937
-67.25,1.93292
-65.75,1.86684
-64.25,1.80189
-62.75,1.73903
-61.25,1.67856
-59.75,1.62
-58.25,1.56394
-56.75,1.51082
-55.25,1.46038
-53.75,1.3899
-52.25,1.32441
-50.75,1.28392
-49.25,1.24565
-47.75,1.20951
-46.25,1.17532
-44.75,1.14317
-43.25,1.113
-41.75,1.08424
-40.25,1.05687
-38.75,1.03115
-37.25,1.00689
-35.75,0.983945
-34.25,0.962245
-32.75,0.941718
-31.25,0.9223
-29.75,0.903923
-28.25,0.886538
-26.75,0.870055
-25.25,0.854518
-23.75,0.840002
-22.25,0.826136
-20.75,0.81279
-19.25,0.800249
-17.75,0.788453
-16.25,0.777268
-14.75,0.76669
-13.25,0.75668
-11.75,0.747212
-10.25,0.738259
-8.75,0.729798
-7.25,0.721795
-5.75,0.71428
-4.25,0.707387
-2.75,0.700819
-1.25,0.69428
0.25,0.687345
1.75,0.679852
3.25,0.676631
4.75,0.674632
6.25,0.667679
7.75,0.661832
9.25,0.658134
10.75,0.654024
12.25,0.650333
13.75,0.646794
15.25,0.643595
16.75,0.64056
18.25,0.637471
19.75,0.634573
21.25,0.631921
22.75,0.629405
24.25,0.627036
25.75,0.624813
27.25,0.62274
28.75,0.620829
30.25,0.619099
31.75,0.61758
33.25,0.61633
34.75,0.615567
36.25,0.615239
37.75,0.615262
39.25,0.616031
40.75,0.617819
42.25,0.620791
43.75,0.625262
45.25,0.631424
46.75,0.639742
48.25,0.648406
49.75,0.662005
51.25,0.646891
52.75,0.719949
54.25,0.378659
