y_mm,mu
-94.25,0.821431
-92.75,0.897108
-91.25,0.879029
-89.75,0.857192
-88.25,0.831576
-86.75,0.809357
-85.25,0.791523
-83.75,0.777844
-82.25,0.7669
-80.75,0.757476
-79.25,0.750129
-77.75,0.745227
-76.25,0.7417
-74.75,0.738462
-73.25,0.73786
-71.75,0.732442
-70.25,0.73339
-68.75,0.736071
-67.25,0.735377
-65.75,0.73472
-64.25,0.736132
-62.75,0.738896
-61.25,0.742013
-59.75,0.744624
-58.25,0.748482
-56.75,0.754569
-55.25,0.761249
-53.75,0.774042
-52.25,0.794053
-50.75,0.815631
-49.25,0.846098
-47.75,0.89256
-46.25,0.959859
-44.75,1.08014
-43.25,1.2752
-41.75,2.53517
-40.25,5.80367
-38.75,3.72887
-37.25,3.34058
-35.75,2.52091
-34.25,2.18807
-32.75,1.95815
-31.25,1.80635
-29.75,1.69281
-28.25,1.602
-26.75,1.52519
-25.25,1.45824
-23.75,1.39869
-22.25,1.34503
-20.75,1.29634
-19.25,1.25148
-17.75,1.21188
-16.25,1.17332
-14.75,1.13826
-13.25,1.10583
-11.75,1.07561
-10.25,1.04741
-8.75,1.02103
-7.25,0.996269
-5.75,0.973127
-4.25,0.950914
-2.75,0.931228
-1.25,0.911684
0.25,0.89305
1.75,0.875744
3.25,0.859326
4.75,0.843763
6.25,0.828989
7.75,0.814925
9.25,0.801613
10.75,0.788701
12.25,0.776902
13.75,0.765689
15.25,0.754391
16.75,0.743794
18.25,0.733796
19.75,0.724242
21.25,0.715128
22.75,0.706675
24.25,0.697807
25.75,0.690313
27.25,0.675916
28.75,0.669421
30.25,0.681592
31.75,0.654184
33.25,0.656335
34.75,0.647988
36.25,0.643471
37.75,0.639045
39.25,0.635595
40.75,0.633158
42.25,0.631997
43.75,0.632575
45.25,0.635286
46.75,0.63883
48.25,0.645307
49.75,0.647807
51.25,0.661974
52.75,0.588365
54.25,0.679379
