y_mm,mu
-94.25,0.795128
-92.75,0.877633
-91.25,0.861463
-89.75,0.839515
-88.25,0.8142
-86.75,0.793345
-85.25,0.776239
-83.75,0.762693
-82.25,0.751939
-80.75,0.743407
-79.25,0.736632
-77.75,0.73126
-76.25,0.727031
-74.75,0.723696
-73.25,0.721068
-71.75,0.719021
-70.25,0.717447
-68.75,0.716262
-67.25,0.715397
-65.75,0.7148
-64.25,0.714385
-62.75,0.714005
-61.25,0.714173
-59.75,0.714834
-58.25,0.71387
-56.75,0.715052
-55.25,0.71654
-53.75,0.716016
-52.25,0.716783
-50.75,0.717697
-49.25,0.718752
-47.75,0.719908
-46.25,0.721207
-44.75,0.722652
-43.25,0.724264
-41.75,0.726071
-40.25,0.728152
-38.75,0.730551
-37.25,0.733302
-35.75,0.736505
-34.25,0.740283
-32.75,0.744812
-31.25,0.750348
-29.75,0.757286
-28.25,0.766246
-26.75,0.778285
-25.25,0.79509
-23.75,0.819882
-22.25,0.856588
-20.75,0.916721
-19.25,1.00026
-17.75,1.27656
-16.25,1.70725
-14.75,3.38831
-13.25,5.03192
-11.75,2.71231
-10.25,2.2117
-8.75,1.89245
-7.25,1.70744
-5.75,1.58021
-4.25,1.4866
-2.75,1.41217
-1.25,1.34968
0.25,1.29451
1.75,1.24521
3.25,1.18083
4.75,1.12393
6.25,1.09022
7.75,1.05844
9.25,1.02858
10.75,1.00093
12.25,0.975056
13.75,0.950942
15.25,0.928495
16.75,0.906931
18.25,0.886175
19.75,0.866683
21.25,0.848252
22.75,0.830825
24.25,0.814513
25.75,0.798722
27.25,0.783268
28.75,0.768674
30.25,0.754909
31.75,0.741935
33.25,0.730052
34.75,0.71886
36.25,0.70791
37.75,0.697424
39.25,0.685221
40.75,0.675554
42.25,0.675296
43.75,0.67576
45.25,0.670925
46.75,0.668261
48.25,0.667676
49.75,0.674608
51.25,0.645071
52.75,0.726659
54.25,0.372321
