x,S11
-9.421292e+01,-1.137667e+01
-9.271791e+01,-8.264162e+00
-9.122289e+01,-1.056778e+01
-8.972788e+01,-4.775524e+00
-8.823287e+01,nan
-8.673785e+01,-5.268326e+00
-8.524284e+01,-4.610069e+00
-8.374783e+01,-4.400535e+00
-8.225282e+01,nan
-8.075780e+01,-4.219269e+00
-7.926279e+01,-4.107919e+00
-7.776778e+01,-4.038931e+00
-7.627276e+01,nan
-7.477775e+01,-4.014986e+00
-7.328274e+01,-4.029461e+00
-7.178772e+01,-4.076165e+00
-7.029271e+01,nan
-6.879770e+01,-4.150321e+00
-6.730268e+01,-4.245215e+00
-6.580767e+01,-4.355696e+00
-6.431266e+01,nan
-6.281765e+01,-4.478697e+00
-6.132263e+01,-4.611214e+00
-5.982762e+01,-4.750926e+00
-5.833261e+01,nan
-5.683759e+01,-4.895975e+00
-5.534258e+01,-5.044888e+00
-5.384757e+01,-5.196502e+00
-5.235255e+01,nan
-5.085754e+01,-5.349907e+00
-4.936253e+01,-5.504394e+00
-4.786752e+01,-5.659425e+00
-4.637250e+01,nan
-4.487749e+01,-5.814600e+00
-4.338248e+01,-5.969634e+00
-4.188746e+01,-6.124337e+00
-4.039245e+01,nan
-3.889744e+01,-6.278599e+00
-3.740242e+01,-6.432382e+00
-3.590741e+01,-6.585672e+00
-3.441240e+01,nan
-3.291738e+01,-6.738623e+00
-3.142237e+01,-6.890739e+00
-2.992736e+01,-7.042020e+00
-2.843235e+01,nan
-2.693733e+01,-7.195067e+00
-2.544232e+01,-7.348478e+00
-2.394731e+01,-7.501596e+00
-2.245229e+01,nan
-2.095728e+01,-7.655312e+00
-1.946227e+01,-7.809916e+00
-1.796725e+01,-7.965668e+00
-1.647224e+01,nan
-1.497723e+01,-8.122853e+00
-1.348222e+01,-8.281766e+00
-1.198720e+01,-8.442729e+00
-1.049219e+01,nan
-8.997176e+00,-8.606072e+00
-7.502163e+00,-8.772383e+00
-6.007150e+00,-8.942197e+00
-4.512137e+00,nan
-3.017124e+00,-9.121525e+00
-1.522111e+00,-9.300445e+00
-2.709789e-02,-9.528746e+00
1.467915e+00,nan
2.962928e+00,-9.598345e+00
4.457941e+00,-9.841438e+00
5.952954e+00,-1.008596e+01
7.447967e+00,nan
8.942980e+00,-1.026812e+01
1.043799e+01,-1.047864e+01
1.193301e+01,-1.070290e+01
1.342802e+01,nan
1.492303e+01,-1.093940e+01
1.641805e+01,-1.118922e+01
1.791306e+01,-1.145224e+01
1.940807e+01,nan
2.090308e+01,-1.173198e+01
2.239810e+01,-1.203162e+01
2.389311e+01,-1.235490e+01
2.538812e+01,nan
2.688314e+01,-1.270663e+01
2.837815e+01,-1.309295e+01
2.987316e+01,-1.352191e+01
3.136818e+01,nan
3.286319e+01,-1.400411e+01
3.435820e+01,-1.455444e+01
3.585322e+01,-1.519223e+01
3.734823e+01,nan
3.884324e+01,-1.595056e+01
4.033825e+01,-1.686135e+01
4.183327e+01,-1.803773e+01
4.332828e+01,nan
4.482329e+01,-1.944443e+01
4.631831e+01,-2.184413e+01
4.781332e+01,-2.372600e+01
4.930833e+01,nan
5.080335e+01,-3.312122e+01
5.229836e+01,-3.129177e+01
5.379337e+01,-1.006175e+02
