x,Mu
-9.380910e+01,8.272110e-01
-9.231794e+01,9.235061e-01
-9.082678e+01,9.253971e-01
-8.933562e+01,8.805611e-01
-8.784447e+01,8.368475e-01
-8.635331e+01,8.341539e-01
-8.486215e+01,8.034828e-01
-8.337099e+01,7.807420e-01
-8.187983e+01,nan
-8.038867e+01,7.642771e-01
-7.889751e+01,7.520199e-01
-7.740636e+01,7.430235e-01
-7.591520e+01,nan
-7.442404e+01,7.363831e-01
-7.293288e+01,7.315000e-01
-7.144172e+01,7.279176e-01
-6.995056e+01,nan
-6.845940e+01,7.253162e-01
-6.696824e+01,7.234649e-01
-6.547709e+01,7.222093e-01
-6.398593e+01,nan
-6.249477e+01,7.214243e-01
-6.100361e+01,7.209134e-01
-5.951245e+01,7.203652e-01
-5.802129e+01,nan
-5.653013e+01,7.188119e-01
-5.503897e+01,7.224730e-01
-5.354782e+01,7.231766e-01
-5.205666e+01,nan
-5.056550e+01,7.157493e-01
-4.907434e+01,7.298305e-01
-4.758318e+01,7.236099e-01
-4.609202e+01,nan
-4.460086e+01,7.252598e-01
-4.310971e+01,7.265699e-01
-4.161855e+01,7.284587e-01
-4.012739e+01,7.303632e-01
-3.863623e+01,nan
-3.714507e+01,7.324073e-01
-3.565391e+01,7.346980e-01
-3.416275e+01,7.372725e-01
-3.267159e+01,nan
-3.118044e+01,7.402290e-01
-2.968928e+01,7.438220e-01
-2.819812e+01,7.480342e-01
-2.670696e+01,nan
-2.521580e+01,7.531584e-01
-2.372464e+01,7.597948e-01
-2.223348e+01,7.684213e-01
-2.074233e+01,nan
-1.925117e+01,7.801961e-01
-1.776001e+01,7.967146e-01
-1.626885e+01,8.212820e-01
-1.477769e+01,nan
-1.328653e+01,8.559068e-01
-1.179537e+01,9.154654e-01
-1.030421e+01,9.938062e-01
-8.813056e+00,nan
-7.321897e+00,1.427633e+00
-5.830739e+00,1.678433e+00
-4.339580e+00,2.719359e+00
-2.848421e+00,nan
-1.357263e+00,2.541785e+00
1.338961e-01,2.123119e+00
1.625055e+00,1.784845e+00
3.116213e+00,1.595961e+00
4.607372e+00,nan
6.098531e+00,1.461965e+00
7.589689e+00,1.364133e+00
9.080848e+00,1.286896e+00
1.057201e+01,nan
1.206317e+01,1.224358e+00
1.355432e+01,1.171273e+00
1.504548e+01,1.124214e+00
1.653664e+01,nan
1.802780e+01,1.083169e+00
1.951896e+01,1.046616e+00
2.101012e+01,1.013371e+00
2.250128e+01,nan
2.399243e+01,9.836868e-01
2.548359e+01,9.567626e-01
2.697475e+01,9.311067e-01
2.846591e+01,9.074667e-01
2.995707e+01,nan
3.144823e+01,8.856957e-01
3.293939e+01,8.651559e-01
3.443055e+01,8.462402e-01
3.592170e+01,nan
3.741286e+01,8.289809e-01
3.890402e+01,8.126628e-01
4.039518e+01,7.963038e-01
4.188634e+01,nan
4.337750e+01,7.835809e-01
4.486866e+01,7.602671e-01
4.635982e+01,7.305144e-01
4.785097e+01,nan
4.934213e+01,7.667531e-01
5.083329e+01,6.842657e-01
5.232445e+01,7.360752e-01
5.381561e+01,2.595906e-01
