x,S11
-9.399002e+01,-7.757295e+00
-9.249724e+01,-5.292206e+00
-9.100446e+01,-4.100389e+00
-8.951167e+01,-3.412083e+00
-8.801889e+01,nan
-8.652611e+01,-2.911214e+00
-8.503333e+01,-2.577233e+00
-8.354055e+01,-2.441225e+00
-8.204776e+01,-2.305300e+00
-8.055498e+01,nan
-7.906220e+01,-1.921341e+00
-7.756942e+01,-2.203607e+00
-7.607664e+01,-1.997668e+00
-7.458385e+01,-1.974569e+00
-7.309107e+01,nan
-7.159829e+01,-2.018220e+00
-7.010551e+01,-2.063189e+00
-6.861272e+01,-2.121320e+00
-6.711994e+01,-2.188286e+00
-6.562716e+01,nan
-6.413438e+01,-2.367280e+00
-6.264160e+01,-2.439762e+00
-6.114881e+01,-4.087237e+00
-5.965603e+01,-1.004420e+00
-5.816325e+01,nan
-5.667047e+01,-2.432712e+00
-5.517769e+01,-2.618587e+00
-5.368490e+01,-2.782819e+00
-5.219212e+01,nan
-5.069934e+01,-2.890890e+00
-4.920656e+01,-2.977605e+00
-4.771377e+01,-3.051530e+00
-4.622099e+01,nan
-4.472821e+01,-3.124459e+00
-4.323543e+01,-3.198066e+00
-4.174265e+01,-3.272902e+00
-4.024986e+01,nan
-3.875708e+01,-3.348420e+00
-3.726430e+01,-3.424122e+00
-3.577152e+01,-3.499597e+00
-3.427874e+01,nan
-3.278595e+01,-3.574577e+00
-3.129317e+01,-3.648920e+00
-2.980039e+01,-3.722561e+00
-2.830761e+01,nan
-2.681482e+01,-3.795641e+00
-2.532204e+01,-3.867735e+00
-2.382926e+01,-3.939046e+00
-2.233648e+01,nan
-2.084370e+01,-4.009960e+00
-1.935091e+01,-4.080829e+00
-1.785813e+01,-4.151223e+00
-1.636535e+01,nan
-1.487257e+01,-4.221311e+00
-1.337979e+01,-4.291606e+00
-1.188700e+01,-4.362286e+00
-1.039422e+01,nan
-8.901439e+00,-4.433522e+00
-7.408657e+00,-4.505524e+00
-5.915875e+00,-4.578521e+00
-4.423093e+00,nan
-2.930311e+00,-4.652758e+00
-1.437529e+00,-4.728498e+00
5.525352e-02,-4.806024e+00
1.548036e+00,nan
3.040818e+00,-4.885656e+00
4.533600e+00,-4.967716e+00
6.026382e+00,-5.052798e+00
7.519164e+00,nan
9.011946e+00,-5.141527e+00
1.050473e+01,-5.238521e+00
1.199751e+01,-5.338091e+00
1.349029e+01,nan
1.498307e+01,-5.468274e+00
1.647586e+01,-5.497566e+00
1.796864e+01,-5.640615e+00
1.946142e+01,nan
2.095420e+01,-5.804646e+00
2.244699e+01,-5.916326e+00
2.393977e+01,-6.054324e+00
2.543255e+01,nan
2.692533e+01,-6.212566e+00
2.841811e+01,-6.386010e+00
2.991090e+01,-6.579967e+00
3.140368e+01,nan
3.289646e+01,-6.798957e+00
3.438924e+01,-7.050598e+00
3.588202e+01,-7.343530e+00
3.737481e+01,nan
3.886759e+01,-7.695592e+00
4.036037e+01,-8.118568e+00
4.185315e+01,-8.674754e+00
4.334594e+01,nan
4.483872e+01,-9.344795e+00
4.633150e+01,-1.044792e+01
4.782428e+01,-1.164931e+01
4.931706e+01,nan
5.080985e+01,-1.481633e+01
5.230263e+01,-2.020232e+01
5.379541e+01,-4.082260e+01
