x,S12
-9.399002e+01,1.211754e+01
-9.249724e+01,1.065846e+01
-9.100446e+01,9.625134e+00
-8.951167e+01,8.623081e+00
-8.801889e+01,nan
-8.652611e+01,7.895398e+00
-8.503333e+01,7.355775e+00
-8.354055e+01,6.978892e+00
-8.204776e+01,6.501862e+00
-8.055498e+01,nan
-7.906220e+01,6.538848e+00
-7.756942e+01,6.258489e+00
-7.607664e+01,6.148651e+00
-7.458385e+01,6.138466e+00
-7.309107e+01,nan
-7.159829e+01,6.135498e+00
-7.010551e+01,6.190520e+00
-6.861272e+01,6.323625e+00
-6.711994e+01,6.597538e+00
-6.562716e+01,nan
-6.413438e+01,7.072528e+00
-6.264160e+01,8.059199e+00
-6.114881e+01,9.877009e+00
-5.965603e+01,7.170512e+00
-5.816325e+01,nan
-5.667047e+01,3.426513e+00
-5.517769e+01,2.263588e+00
-5.368490e+01,1.972012e+00
-5.219212e+01,nan
-5.069934e+01,1.857961e+00
-4.920656e+01,1.835529e+00
-4.771377e+01,1.854560e+00
-4.622099e+01,nan
-4.472821e+01,1.894288e+00
-4.323543e+01,1.944051e+00
-4.174265e+01,1.998318e+00
-4.024986e+01,nan
-3.875708e+01,2.054028e+00
-3.726430e+01,2.109461e+00
-3.577152e+01,2.163656e+00
-3.427874e+01,nan
-3.278595e+01,2.216114e+00
-3.129317e+01,2.266627e+00
-2.980039e+01,2.315178e+00
-2.830761e+01,nan
-2.681482e+01,2.361861e+00
-2.532204e+01,2.406581e+00
-2.382926e+01,2.449881e+00
-2.233648e+01,nan
-2.084370e+01,2.491956e+00
-1.935091e+01,2.533105e+00
-1.785813e+01,2.573242e+00
-1.636535e+01,nan
-1.487257e+01,2.612973e+00
-1.337979e+01,2.652540e+00
-1.188700e+01,2.692179e+00
-1.039422e+01,nan
-8.901439e+00,2.732163e+00
-7.408657e+00,2.772755e+00
-5.915875e+00,2.814214e+00
-4.423093e+00,nan
-2.930311e+00,2.856799e+00
-1.437529e+00,2.900776e+00
5.525352e-02,2.946416e+00
1.548036e+00,nan
3.040818e+00,2.994004e+00
4.533600e+00,3.043873e+00
6.026382e+00,3.096439e+00
7.519164e+00,nan
9.011946e+00,3.152664e+00
1.050473e+01,3.213216e+00
1.199751e+01,3.278790e+00
1.349029e+01,nan
1.498307e+01,3.344932e+00
1.647586e+01,3.381609e+00
1.796864e+01,3.499480e+00
1.946142e+01,nan
2.095420e+01,3.574342e+00
2.244699e+01,3.653403e+00
2.393977e+01,3.754935e+00
2.543255e+01,nan
2.692533e+01,3.860594e+00
2.841811e+01,3.979615e+00
2.991090e+01,4.112744e+00
3.140368e+01,nan
3.289646e+01,4.263831e+00
3.438924e+01,4.437493e+00
3.588202e+01,4.640411e+00
3.737481e+01,nan
3.886759e+01,4.882123e+00
4.036037e+01,5.177175e+00
4.185315e+01,5.547869e+00
4.334594e+01,nan
4.483872e+01,6.031660e+00
4.633150e+01,6.700754e+00
4.782428e+01,7.664351e+00
4.931706e+01,nan
5.080985e+01,9.410143e+00
5.230263e+01,1.307924e+01
5.379541e+01,1.350716e+01
