x,S12
-9.395295e+01,1.056334e+01
-9.246055e+01,9.281568e+00
-9.096816e+01,8.290901e+00
-8.947577e+01,7.354154e+00
-8.798337e+01,nan
-8.649098e+01,6.662199e+00
-8.499858e+01,6.144620e+00
-8.350619e+01,5.749915e+00
-8.201380e+01,nan
-8.052140e+01,5.442722e+00
-7.902901e+01,5.198342e+00
-7.753662e+01,5.000380e+00
-7.604422e+01,nan
-7.455183e+01,4.837693e+00
-7.305944e+01,4.699198e+00
-7.156704e+01,4.579472e+00
-7.007465e+01,nan
-6.858226e+01,4.473864e+00
-6.708986e+01,4.382561e+00
-6.559747e+01,4.300536e+00
-6.410508e+01,4.225771e+00
-6.261268e+01,nan
-6.112029e+01,4.157056e+00
-5.962790e+01,4.096072e+00
-5.813550e+01,4.042647e+00
-5.664311e+01,nan
-5.515071e+01,3.993089e+00
-5.365832e+01,3.949648e+00
-5.216593e+01,3.855860e+00
-5.067353e+01,nan
-4.918114e+01,3.879496e+00
-4.768875e+01,3.810006e+00
-4.619635e+01,3.781266e+00
-4.470396e+01,nan
-4.321157e+01,3.768438e+00
-4.171917e+01,3.745610e+00
-4.022678e+01,3.725151e+00
-3.873439e+01,3.707454e+00
-3.724199e+01,nan
-3.574960e+01,3.694078e+00
-3.425721e+01,3.684179e+00
-3.276481e+01,3.681134e+00
-3.127242e+01,nan
-2.978003e+01,3.684489e+00
-2.828763e+01,3.691151e+00
-2.679524e+01,3.703690e+00
-2.530285e+01,nan
-2.381045e+01,3.722286e+00
-2.231806e+01,3.750039e+00
-2.082566e+01,3.788459e+00
-1.933327e+01,nan
-1.784088e+01,3.834893e+00
-1.634848e+01,3.895581e+00
-1.485609e+01,3.973974e+00
-1.336370e+01,4.081092e+00
-1.187130e+01,nan
-1.037891e+01,4.223045e+00
-8.886517e+00,4.418065e+00
-7.394123e+00,4.701040e+00
-5.901730e+00,nan
-4.409336e+00,5.120290e+00
-2.916943e+00,5.890116e+00
-1.424549e+00,7.291921e+00
6.784439e-02,nan
1.560238e+00,5.467267e+00
3.052631e+00,2.967928e+00
4.545025e+00,2.207438e+00
6.037418e+00,nan
7.529812e+00,2.108294e+00
9.022205e+00,2.122577e+00
1.051460e+01,2.195623e+00
1.200699e+01,nan
1.349939e+01,2.292967e+00
1.499178e+01,2.402088e+00
1.648417e+01,2.516279e+00
1.797657e+01,nan
1.946896e+01,2.635247e+00
2.096135e+01,2.756600e+00
2.245375e+01,2.882287e+00
2.394614e+01,nan
2.543853e+01,3.013138e+00
2.693093e+01,3.150467e+00
2.842332e+01,3.296334e+00
2.991571e+01,nan
3.140811e+01,3.453375e+00
3.290050e+01,3.625136e+00
3.439289e+01,3.815877e+00
3.588529e+01,5.280390e+00
3.737768e+01,3.922201e+00
3.887008e+01,4.280100e+00
4.036247e+01,4.576069e+00
4.185486e+01,5.216930e+00
4.334726e+01,4.780227e+00
4.483965e+01,5.403170e+00
4.633204e+01,6.095198e+00
4.782444e+01,6.878987e+00
4.931683e+01,nan
5.080922e+01,8.545704e+00
5.230162e+01,1.194725e+01
5.379401e+01,1.169270e+01
