x,S12
-9.396330e+01,5.700362e+00
-9.247077e+01,5.008914e+00
-9.097824e+01,4.492551e+00
-8.948571e+01,4.003570e+00
-8.799318e+01,nan
-8.650065e+01,3.645834e+00
-8.500812e+01,3.377264e+00
-8.351559e+01,3.174747e+00
-8.202306e+01,nan
-8.053054e+01,3.021016e+00
-7.903801e+01,2.899834e+00
-7.754548e+01,2.802313e+00
-7.605295e+01,2.725418e+00
-7.456042e+01,nan
-7.306789e+01,2.662456e+00
-7.157536e+01,2.609840e+00
-7.008283e+01,2.573327e+00
-6.859030e+01,nan
-6.709777e+01,2.482972e+00
-6.560524e+01,2.515106e+00
-6.411271e+01,2.455515e+00
-6.262018e+01,nan
-6.112765e+01,2.434408e+00
-5.963512e+01,2.427312e+00
-5.814260e+01,2.415184e+00
-5.665007e+01,2.405254e+00
-5.515754e+01,nan
-5.366501e+01,2.398206e+00
-5.217248e+01,2.398524e+00
-5.067995e+01,2.406635e+00
-4.918742e+01,nan
-4.769489e+01,2.421049e+00
-4.620236e+01,2.445712e+00
-4.470983e+01,2.485123e+00
-4.321730e+01,2.541430e+00
-4.172477e+01,nan
-4.023224e+01,2.623617e+00
-3.873971e+01,2.746829e+00
-3.724718e+01,2.935709e+00
-3.575466e+01,nan
-3.426213e+01,3.227379e+00
-3.276960e+01,3.781658e+00
-3.127707e+01,4.804967e+00
-2.978454e+01,nan
-2.829201e+01,3.523084e+00
-2.679948e+01,1.632499e+00
-2.530695e+01,1.027854e+00
-2.381442e+01,nan
-2.232189e+01,8.747010e-01
-2.082936e+01,8.103000e-01
-1.933683e+01,7.933133e-01
-1.784430e+01,nan
-1.635177e+01,7.983129e-01
-1.485924e+01,8.148299e-01
-1.336672e+01,8.375218e-01
-1.187419e+01,nan
-1.038166e+01,8.636662e-01
-8.889127e+00,8.917973e-01
-7.396598e+00,9.211188e-01
-5.904069e+00,1.198273e+00
-4.411539e+00,9.295046e-01
-2.919010e+00,9.813385e-01
-1.426481e+00,1.012173e+00
6.604856e-02,1.197241e+00
1.558578e+00,1.013870e+00
3.051107e+00,1.074530e+00
4.543637e+00,1.106391e+00
6.036166e+00,1.311778e+00
7.528695e+00,1.105877e+00
9.021225e+00,1.171952e+00
1.051375e+01,1.205957e+00
1.200628e+01,1.360647e+00
1.349881e+01,1.203259e+00
1.499134e+01,1.277403e+00
1.648387e+01,1.315338e+00
1.797640e+01,1.427630e+00
1.946893e+01,1.314382e+00
2.096146e+01,1.397234e+00
2.245399e+01,1.442107e+00
2.394652e+01,1.495073e+00
2.543905e+01,1.465902e+00
2.693158e+01,1.542970e+00
2.842411e+01,1.600946e+00
2.991664e+01,1.664325e+00
3.140916e+01,nan
3.290169e+01,1.722299e+00
3.439422e+01,1.811221e+00
3.588675e+01,1.904355e+00
3.737928e+01,nan
3.887181e+01,2.009777e+00
4.036434e+01,2.141698e+00
4.185687e+01,2.304323e+00
4.334940e+01,nan
4.484193e+01,2.516314e+00
4.633446e+01,2.809165e+00
4.782699e+01,3.235050e+00
4.931952e+01,nan
5.081205e+01,4.015880e+00
5.230458e+01,5.680973e+00
5.379710e+01,5.721917e+00
