x,S11
-9.382806e+01,-3.802684e+00
-9.233682e+01,-2.637608e+00
-9.084558e+01,-2.063679e+00
-8.935434e+01,-1.719980e+00
-8.786310e+01,nan
-8.637185e+01,-1.464283e+00
-8.488061e+01,-1.290003e+00
-8.338937e+01,-1.186980e+00
-8.189813e+01,nan
-8.040688e+01,-1.165146e+00
-7.891564e+01,-1.051314e+00
-7.742440e+01,-9.907294e-01
-7.593316e+01,-1.097048e+00
-7.444192e+01,nan
-7.295067e+01,-9.873561e-01
-7.145943e+01,-1.036759e+00
-6.996819e+01,-1.061116e+00
-6.847695e+01,nan
-6.698571e+01,-1.094205e+00
-6.549446e+01,-1.126442e+00
-6.400322e+01,-1.166943e+00
-6.251198e+01,nan
-6.102074e+01,-1.210327e+00
-5.952949e+01,-1.319248e+00
-5.803825e+01,-1.355690e+00
-5.654701e+01,-2.347545e+00
-5.505577e+01,nan
-5.356453e+01,-4.403390e-01
-5.207328e+01,-1.354459e+00
-5.058204e+01,-1.460484e+00
-4.909080e+01,nan
-4.759956e+01,-1.554714e+00
-4.610832e+01,-1.612072e+00
-4.461707e+01,-1.656175e+00
-4.312583e+01,nan
-4.163459e+01,-1.691798e+00
-4.014335e+01,-1.726473e+00
-3.865210e+01,-1.761364e+00
-3.716086e+01,nan
-3.566962e+01,-1.796929e+00
-3.417838e+01,-1.832906e+00
-3.268714e+01,-1.869098e+00
-3.119589e+01,nan
-2.970465e+01,-1.905204e+00
-2.821341e+01,-1.940823e+00
-2.672217e+01,-1.976135e+00
-2.523093e+01,nan
-2.373968e+01,-2.011245e+00
-2.224844e+01,-2.045762e+00
-2.075720e+01,-2.079828e+00
-1.926596e+01,nan
-1.777471e+01,-2.113688e+00
-1.628347e+01,-2.147360e+00
-1.479223e+01,-2.180901e+00
-1.330099e+01,-2.214392e+00
-1.180975e+01,nan
-1.031850e+01,-2.247925e+00
-8.827262e+00,-2.281603e+00
-7.336019e+00,-2.315538e+00
-5.844777e+00,nan
-4.353535e+00,-2.349861e+00
-2.862293e+00,-2.384711e+00
-1.371051e+00,-2.420346e+00
1.201913e-01,nan
1.611433e+00,-2.456415e+00
3.102676e+00,-2.493223e+00
4.593918e+00,-2.531452e+00
6.085160e+00,nan
7.576402e+00,-2.570700e+00
9.067644e+00,-2.611265e+00
1.055889e+01,-2.653676e+00
1.205013e+01,nan
1.354137e+01,-2.700372e+00
1.503261e+01,-2.747991e+00
1.652385e+01,-2.811016e+00
1.801510e+01,nan
1.950634e+01,-2.832523e+00
2.099758e+01,-2.891895e+00
2.248882e+01,-2.979489e+00
2.398007e+01,nan
2.547131e+01,-3.036043e+00
2.696255e+01,-3.105463e+00
2.845379e+01,-3.187744e+00
2.994503e+01,nan
3.143628e+01,-3.278534e+00
3.292752e+01,-3.380748e+00
3.441876e+01,-3.498201e+00
3.591000e+01,nan
3.740124e+01,-3.635749e+00
3.889249e+01,-3.800584e+00
4.038373e+01,-4.001550e+00
4.187497e+01,-5.587381e+00
4.336621e+01,-4.143382e+00
4.485746e+01,-4.590493e+00
4.634870e+01,-5.071480e+00
4.783994e+01,-6.491356e+00
4.933118e+01,-5.624517e+00
5.082242e+01,-6.940493e+00
5.231367e+01,-1.045798e+01
5.380491e+01,-1.872310e+01
