x,S12
-9.395076e+01,1.419971e+01
-9.245837e+01,1.280159e+01
-9.096598e+01,1.106114e+01
-8.947359e+01,9.429014e+00
-8.798119e+01,nan
-8.648880e+01,8.279020e+00
-8.499641e+01,7.488116e+00
-8.350402e+01,6.946048e+00
-8.201162e+01,nan
-8.051923e+01,6.571836e+00
-7.902684e+01,6.313527e+00
-7.753444e+01,6.135567e+00
-7.604205e+01,nan
-7.454966e+01,6.016598e+00
-7.305727e+01,5.944760e+00
-7.156487e+01,5.908691e+00
-7.007248e+01,nan
-6.858009e+01,5.900508e+00
-6.708770e+01,5.912374e+00
-6.559530e+01,5.938535e+00
-6.410291e+01,5.824885e+00
-6.261052e+01,6.582096e+00
-6.111813e+01,6.027639e+00
-5.962573e+01,6.090677e+00
-5.813334e+01,6.165260e+00
-5.664095e+01,nan
-5.514856e+01,6.247883e+00
-5.365616e+01,6.334630e+00
-5.216377e+01,6.424533e+00
-5.067138e+01,nan
-4.917898e+01,6.482311e+00
-4.768659e+01,6.675392e+00
-4.619420e+01,6.703621e+00
-4.470181e+01,nan
-4.320941e+01,6.839512e+00
-4.171702e+01,6.979946e+00
-4.022463e+01,7.108107e+00
-3.873224e+01,nan
-3.723984e+01,7.246227e+00
-3.574745e+01,7.394809e+00
-3.425506e+01,7.550959e+00
-3.276267e+01,7.713383e+00
-3.127027e+01,nan
-2.977788e+01,7.883126e+00
-2.828549e+01,8.064770e+00
-2.679309e+01,8.259253e+00
-2.530070e+01,nan
-2.380831e+01,8.469391e+00
-2.231592e+01,8.688266e+00
-2.082352e+01,8.915667e+00
-1.933113e+01,nan
-1.783874e+01,9.161404e+00
-1.634635e+01,9.426465e+00
-1.485395e+01,9.712651e+00
-1.336156e+01,nan
-1.186917e+01,1.001966e+01
-1.037678e+01,1.034580e+01
-8.884383e+00,1.070127e+01
-7.391990e+00,nan
-5.899598e+00,1.110050e+01
-4.407205e+00,1.156115e+01
-2.914812e+00,1.211660e+01
-1.422420e+00,1.282891e+01
6.997311e-02,nan
1.562366e+00,1.381536e+01
3.054758e+00,1.531462e+01
4.547151e+00,1.762105e+01
6.039544e+00,nan
7.531936e+00,2.451931e+01
9.024329e+00,4.903373e+01
1.051672e+01,6.274922e+01
1.200911e+01,nan
1.350151e+01,4.921310e+01
1.499390e+01,4.198008e+01
1.648629e+01,3.812442e+01
1.797868e+01,nan
1.947108e+01,3.562689e+01
2.096347e+01,3.400736e+01
2.245586e+01,3.293570e+01
2.394826e+01,nan
2.544065e+01,3.224647e+01
2.693304e+01,3.183377e+01
2.842543e+01,3.165573e+01
2.991783e+01,nan
3.141022e+01,3.168119e+01
3.290261e+01,3.188588e+01
3.439500e+01,3.228407e+01
3.588740e+01,nan
3.737979e+01,3.289968e+01
3.887218e+01,3.377318e+01
4.036457e+01,3.497114e+01
4.185697e+01,5.696666e+01
4.334936e+01,3.486985e+01
4.484175e+01,3.899468e+01
4.633415e+01,4.215265e+01
4.782654e+01,4.758229e+01
4.931893e+01,nan
5.081132e+01,5.413420e+01
5.230372e+01,6.982143e+01
5.379611e+01,6.349749e+01
