x,S12
-9.396330e+01,1.221957e+01
-9.247077e+01,1.175362e+01
-9.097824e+01,1.021973e+01
-8.948571e+01,8.709374e+00
-8.799318e+01,nan
-8.650065e+01,7.644981e+00
-8.500812e+01,6.906739e+00
-8.351559e+01,6.408580e+00
-8.202306e+01,nan
-8.053054e+01,6.082907e+00
-7.903801e+01,5.873369e+00
-7.754548e+01,5.738080e+00
-7.605295e+01,5.667754e+00
-7.456042e+01,nan
-7.306789e+01,5.654119e+00
-7.157536e+01,5.666414e+00
-7.008283e+01,5.688799e+00
-6.859030e+01,nan
-6.709777e+01,5.817286e+00
-6.560524e+01,5.830668e+00
-6.411271e+01,5.957564e+00
-6.262018e+01,nan
-6.112765e+01,6.096040e+00
-5.963512e+01,6.234165e+00
-5.814260e+01,6.383259e+00
-5.665007e+01,6.536842e+00
-5.515754e+01,nan
-5.366501e+01,6.710253e+00
-5.217248e+01,6.909820e+00
-5.067995e+01,7.117593e+00
-4.918742e+01,nan
-4.769489e+01,7.344036e+00
-4.620236e+01,7.614818e+00
-4.470983e+01,7.927366e+00
-4.321730e+01,8.303186e+00
-4.172477e+01,nan
-4.023224e+01,8.817802e+00
-3.873971e+01,9.578765e+00
-3.724718e+01,1.077465e+01
-3.575466e+01,nan
-3.426213e+01,1.272126e+01
-3.276960e+01,1.901460e+01
-3.127707e+01,4.024209e+01
-2.978454e+01,nan
-2.829201e+01,5.198971e+01
-2.679948e+01,3.967008e+01
-2.530695e+01,3.302543e+01
-2.381442e+01,nan
-2.232189e+01,2.935509e+01
-2.082936e+01,2.688851e+01
-1.933683e+01,2.518216e+01
-1.784430e+01,nan
-1.635177e+01,2.394219e+01
-1.485924e+01,2.300643e+01
-1.336672e+01,2.228154e+01
-1.187419e+01,nan
-1.038166e+01,2.170803e+01
-8.889127e+00,2.124793e+01
-7.396598e+00,2.087626e+01
-5.904069e+00,3.430842e+01
-4.411539e+00,1.938187e+01
-2.919010e+00,2.033522e+01
-1.426481e+00,2.014539e+01
6.604856e-02,2.928471e+01
1.558578e+00,1.823189e+01
3.051107e+00,1.989522e+01
4.543637e+00,1.982465e+01
6.036166e+00,2.896770e+01
7.528695e+00,1.805332e+01
9.021225e+00,1.980227e+01
1.051375e+01,1.983856e+01
1.200628e+01,2.514197e+01
1.349881e+01,1.825610e+01
1.499134e+01,2.001325e+01
1.648387e+01,2.015383e+01
1.797640e+01,2.345816e+01
1.946893e+01,1.857489e+01
2.096146e+01,2.055394e+01
2.245399e+01,2.082200e+01
2.394652e+01,2.152367e+01
2.543905e+01,1.916371e+01
2.693158e+01,2.153299e+01
2.842411e+01,2.198242e+01
2.991664e+01,2.249413e+01
3.140916e+01,nan
3.290169e+01,2.289571e+01
3.439422e+01,2.379352e+01
3.588675e+01,2.491482e+01
3.737928e+01,nan
3.887181e+01,2.594156e+01
4.036434e+01,2.723130e+01
4.185687e+01,2.895088e+01
4.334940e+01,nan
4.484193e+01,3.131381e+01
4.633446e+01,3.430347e+01
4.782699e+01,3.950111e+01
4.931952e+01,nan
5.081205e+01,4.498141e+01
5.230458e+01,5.922233e+01
5.379710e+01,5.488983e+01
