x,S11
-9.381354e+01,-1.339562e+01
-9.232240e+01,-1.165026e+01
-9.083125e+01,-1.026494e+01
-8.934011e+01,-9.382868e+00
-8.784896e+01,nan
-8.635782e+01,-8.760355e+00
-8.486667e+01,-8.321177e+00
-8.337553e+01,-8.016238e+00
-8.188438e+01,nan
-8.039324e+01,-7.810865e+00
-7.890209e+01,-7.683462e+00
-7.741095e+01,-7.619503e+00
-7.591980e+01,nan
-7.442866e+01,-7.603819e+00
-7.293751e+01,-7.627504e+00
-7.144637e+01,-7.683749e+00
-6.995522e+01,nan
-6.846408e+01,-7.773289e+00
-6.697293e+01,-7.862491e+00
-6.548179e+01,-7.955913e+00
-6.399064e+01,nan
-6.249950e+01,-8.155385e+00
-6.100835e+01,-8.254393e+00
-5.951721e+01,-8.338563e+00
-5.802607e+01,-8.607635e+00
-5.653492e+01,nan
-5.504378e+01,-8.772423e+00
-5.355263e+01,-8.952290e+00
-5.206149e+01,-9.135321e+00
-5.057034e+01,nan
-4.907920e+01,-9.330409e+00
-4.758805e+01,-9.532814e+00
-4.609691e+01,-9.739405e+00
-4.460576e+01,nan
-4.311462e+01,-9.944868e+00
-4.162347e+01,-1.014633e+01
-4.013233e+01,-1.034122e+01
-3.864118e+01,nan
-3.715004e+01,-1.053200e+01
-3.565889e+01,-1.072752e+01
-3.416775e+01,-1.100280e+01
-3.267660e+01,nan
-3.118546e+01,-1.131988e+01
-2.969431e+01,-1.196621e+01
-2.820317e+01,-1.207803e+01
-2.671202e+01,-2.217060e+01
-2.522088e+01,nan
-2.372973e+01,-5.282401e+00
-2.223859e+01,-1.321728e+01
-2.074745e+01,-1.332357e+01
-1.925630e+01,nan
-1.776516e+01,-1.426066e+01
-1.627401e+01,-1.470899e+01
-1.478287e+01,-1.513779e+01
-1.329172e+01,nan
-1.180058e+01,-1.550509e+01
-1.030943e+01,-1.587653e+01
-8.818287e+00,-1.625998e+01
-7.327142e+00,nan
-5.835998e+00,-1.666208e+01
-4.344853e+00,-1.708418e+01
-2.853708e+00,-1.752064e+01
-1.362563e+00,nan
1.285817e-01,-1.797463e+01
1.619726e+00,-1.845657e+01
3.110871e+00,-1.895725e+01
4.602016e+00,nan
6.093161e+00,-1.947340e+01
7.584306e+00,-2.000919e+01
9.075450e+00,-2.056648e+01
1.056660e+01,-2.614136e+01
1.205774e+01,-2.046415e+01
1.354888e+01,-2.175330e+01
1.504003e+01,-2.237382e+01
1.653117e+01,-2.303590e+01
1.802232e+01,nan
1.951346e+01,-2.374487e+01
2.100461e+01,-2.448877e+01
2.249575e+01,-2.527862e+01
2.398690e+01,nan
2.547804e+01,-2.612663e+01
2.696919e+01,-2.704147e+01
2.846033e+01,-2.805759e+01
2.995148e+01,nan
3.144262e+01,-2.916405e+01
3.293377e+01,-3.048660e+01
3.442491e+01,-3.187538e+01
3.591606e+01,nan
3.740720e+01,-3.331270e+01
3.889835e+01,-3.516996e+01
4.038949e+01,-3.756289e+01
4.188064e+01,nan
4.337178e+01,-4.051180e+01
4.486293e+01,-4.412015e+01
4.635407e+01,-4.945144e+01
4.784521e+01,-7.103536e+01
4.933636e+01,-5.451948e+01
5.082750e+01,-7.266386e+01
5.231865e+01,-8.486568e+01
5.380979e+01,-2.200407e+02
