x,Mu
-9.381105e+01,8.745340e-01
-9.231991e+01,9.567835e-01
-9.082876e+01,9.582196e-01
-8.933762e+01,9.061417e-01
-8.784647e+01,8.027201e-01
-8.635533e+01,8.554116e-01
-8.486418e+01,8.212686e-01
-8.337304e+01,7.962137e-01
-8.188189e+01,nan
-8.039075e+01,7.775664e-01
-7.889960e+01,7.638928e-01
-7.740846e+01,7.539998e-01
-7.591731e+01,nan
-7.442617e+01,7.466503e-01
-7.293502e+01,7.412803e-01
-7.144388e+01,7.374011e-01
-6.995273e+01,nan
-6.846159e+01,7.346795e-01
-6.697044e+01,7.328194e-01
-6.547930e+01,7.312858e-01
-6.398815e+01,nan
-6.249701e+01,7.291041e-01
-6.100586e+01,7.327583e-01
-5.951472e+01,7.312596e-01
-5.802357e+01,nan
-5.653243e+01,7.258987e-01
-5.504128e+01,7.396993e-01
-5.355014e+01,7.329131e-01
-5.205899e+01,7.387607e-01
-5.056785e+01,7.158704e-01
-4.907670e+01,7.369281e-01
-4.758556e+01,7.395592e-01
-4.609441e+01,7.423140e-01
-4.460327e+01,nan
-4.311212e+01,7.453966e-01
-4.162098e+01,7.489925e-01
-4.012983e+01,7.532601e-01
-3.863869e+01,nan
-3.714754e+01,7.583568e-01
-3.565640e+01,7.646656e-01
-3.416525e+01,7.728467e-01
-3.267411e+01,nan
-3.118296e+01,7.834612e-01
-2.969182e+01,7.981456e-01
-2.820067e+01,8.188649e-01
-2.670953e+01,nan
-2.521838e+01,8.496156e-01
-2.372724e+01,8.931229e-01
-2.223609e+01,9.675079e-01
-2.074495e+01,nan
-1.925380e+01,1.075853e+00
-1.776266e+01,1.614357e+00
-1.627151e+01,1.820498e+00
-1.478037e+01,nan
-1.328922e+01,1.536114e+01
-1.179808e+01,2.967856e+00
-1.030693e+01,2.465710e+00
-8.815789e+00,2.032725e+00
-7.324644e+00,nan
-5.833499e+00,1.800178e+00
-4.342354e+00,1.635529e+00
-2.851209e+00,1.516742e+00
-1.360064e+00,nan
1.310810e-01,1.423632e+00
1.622226e+00,1.347493e+00
3.113371e+00,1.283099e+00
4.604516e+00,nan
6.095661e+00,1.227860e+00
7.586806e+00,1.178956e+00
9.077951e+00,1.134842e+00
1.056910e+01,nan
1.206024e+01,1.095490e+00
1.355139e+01,1.059839e+00
1.504253e+01,1.027399e+00
1.653368e+01,nan
1.802482e+01,9.974760e-01
1.951597e+01,9.704632e-01
2.100711e+01,9.457675e-01
2.249826e+01,9.221934e-01
2.398940e+01,nan
2.548055e+01,9.005073e-01
2.697169e+01,8.805210e-01
2.846284e+01,8.619429e-01
2.995398e+01,nan
3.144513e+01,8.446816e-01
3.293627e+01,8.286612e-01
3.442742e+01,8.137436e-01
3.591856e+01,nan
3.740971e+01,7.985761e-01
3.890085e+01,7.767653e-01
4.039200e+01,7.652661e-01
4.188314e+01,nan
4.337429e+01,7.738020e-01
4.486543e+01,7.634237e-01
4.635658e+01,7.365138e-01
4.784772e+01,nan
4.933887e+01,7.418340e-01
5.083001e+01,6.590875e-01
5.232116e+01,7.416167e-01
5.381230e+01,2.596341e-01
